date;bugs;reliability_rating;reliability_remediation_effort;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;new_sqale_debt_ratio;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;coverage;line_coverage;lines_to_cover;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;classes;comment_lines;comment_lines_density;directories;files;functions;lines;ncloc;ncloc_language_distribution;statements;class_complexity;cognitive_complexity;complexity;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;open_issues;reopened_issues;violations;wont_fix_issues
25/12/2015;382;5;3127;2;2460;225;13985;5171580;0;0;2.8;146060;1;0.847284582;0;0;105134;105134;489;104;9365;3.4;1563;40121;18.9;110;1092;17535;277069;172386;java=172386;88612;30.4;38097;47461;43.5;"0=326;5=188;10=172;20=113;30=149;60=51;90=93";2.6;"1=10426;2=3459;4=1186;6=526;8=282;10=182;12=494";137;0;1191;0;932;5068;7264;14592;0;14592;0
1/1/2016;378;5;3111;2;2460;225;13988;5172960;0;0;2.8;146081;1;0.847180338;0;0;105159;105159;489;104;9365;3.4;1563;40117;18.9;110;1092;17539;277109;172432;java=172432;88638;30.4;38105;47475;43.5;"0=326;5=188;10=171;20=114;30=148;60=52;90=93";2.6;"1=10428;2=3460;4=1186;6=525;8=284;10=183;12=493";137;0;1193;0;933;5064;7264;14591;0;14591;0
8/1/2016;380;5;3133;2;2460;225;13927;5172870;0;0;2.8;145923;1;0.846278758;0;0;105155;105155;489;104;9375;3.4;1563;40117;18.9;110;1092;17539;277105;172429;java=172429;88631;30.4;38104;47474;43.5;"0=326;5=188;10=171;20=114;30=148;60=52;90=93";2.6;"1=10428;2=3460;4=1186;6=524;8=285;10=183;12=493";138;0;1192;0;933;5064;7205;14532;0;14532;0
15/1/2016;380;5;3133;2;2460;225;13938;5177220;0;0;2.8;146044;1;0.846268847;0;0;105256;105256;491;106;9421;3.4;1563;40125;18.9;110;1092;17542;277267;172574;java=172574;88721;30.4;38181;47525;43.5;"0=326;5=188;10=171;20=114;30=148;60=52;90=93";2.7;"1=10429;2=3460;4=1186;6=522;8=286;10=183;12=496";138;0;1197;0;933;5065;7210;14543;0;14543;0
22/1/2016;380;5;3133;2;2460;225;13937;5177580;0;0;2.8;146036;1;0.846163652;0;0;105264;105264;491;106;9421;3.4;1563;40125;18.9;110;1092;17544;277278;172586;java=172586;88727;30.4;38181;47527;43.5;"0=326;5=188;10=171;20=114;30=148;60=52;90=93";2.7;"1=10430;2=3460;4=1187;6=523;8=285;10=183;12=496";138;0;1196;0;933;5065;7210;14542;0;14542;0
29/1/2016;380;5;3133;2;2460;225;13932;5178090;0;0;2.8;146024;1;0.846010788;0;0;105270;105270;491;106;9421;3.4;1563;40129;18.9;110;1092;17545;277297;172603;java=172603;88733;30.4;38181;47536;43.5;"0=326;5=188;10=171;20=114;30=148;60=52;90=93";2.7;"1=10431;2=3460;4=1187;6=523;8=285;10=183;12=496";138;0;1196;0;937;5057;7209;14537;0;14537;0
5/2/2016;380;5;3133;2;2460;225;13935;5182830;0;0;2.8;146042;1;0.845341252;0;0;105326;105326;491;106;9421;3.4;1566;40198;18.9;110;1095;17564;277642;172761;java=172761;88789;30.4;38201;47567;43.4;"0=327;5=190;10=171;20=114;30=148;60=52;90=93";2.6;"1=10440;2=3469;4=1187;6=523;8=285;10=183;12=496";138;0;1196;0;937;5060;7209;14540;0;14540;0
12/2/2016;380;5;3133;2;2460;225;13936;5183340;0;0;2.8;146072;1;0.84543171;0;0;105338;105338;491;106;9421;3.4;1567;40210;18.9;110;1095;17565;277674;172778;java=172778;88799;30.4;38206;47570;43.4;"0=327;5=190;10=171;20=114;30=148;60=52;90=93";2.6;"1=10441;2=3469;4=1186;6=524;8=285;10=183;12=496";138;0;1196;0;937;5061;7209;14541;0;14541;0
19/2/2016;380;5;3133;2;2460;225;13936;5183400;0;0;2.8;146075;1;0.845439287;0;0;105338;105338;491;106;9421;3.4;1567;40210;18.9;110;1095;17565;277676;172780;java=172780;88796;30.4;38209;47566;43.4;"0=327;5=190;10=171;20=114;30=148;60=52;90=93";2.6;"1=10441;2=3469;4=1186;6=524;8=285;10=183;12=496";138;0;1196;0;937;5062;7208;14541;0;14541;0
26/2/2016;380;5;3133;2;2460;225;13936;5183610;0;0;2.8;146075;1;0.845405036;0;0;105343;105343;491;106;9421;3.4;1567;40210;18.9;110;1095;17565;277683;172787;java=172787;88801;30.4;38212;47568;43.4;"0=327;5=190;10=171;20=114;30=148;60=52;90=93";2.6;"1=10441;2=3469;4=1185;6=524;8=286;10=183;12=496";138;0;1196;0;937;5062;7208;14541;0;14541;0
