date;bugs;reliability_rating;reliability_remediation_effort;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;coverage;line_coverage;lines_to_cover;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;classes;comment_lines;comment_lines_density;directories;files;functions;lines;ncloc;ncloc_language_distribution;statements;class_complexity;cognitive_complexity;complexity;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;open_issues;reopened_issues;violations;wont_fix_issues
30/10/2015;89;5;841;5;1120;80;1277;989910;0;2.2;21440;1;0.649756038;0;0;18440;18440;29;21;535;0.9;593;6190;15.8;61;445;3330;56680;32997;java=32997;14038;10;4204;5932;13.3;"0=180;5=94;10=79;20=33;30=44;60=11;90=4";1.7;"1=2021;2=671;4=191;6=63;8=28;10=14;12=23";40;0;161;0;50;518;677;1446;0;1446;0
6/11/2015;91;5;871;5;1180;84;1267;1021080;0;2.2;22553;1;0.66262193;0;0;18980;18980;31;22;558;1;609;6355;15.7;61;456;3443;58310;34036;java=34036;14474;10;4311;6113;13.4;"0=187;5=94;10=79;20=37;30=42;60=11;90=6";1.7;"1=2098;2=685;4=196;6=65;8=26;10=15;12=25";40;0;168;0;50;497;687;1442;0;1442;0
13/11/2015;88;5;856;5;1110;80;1102;1016460;0;2.1;21734;1;0.641461543;0;0;18932;18932;33;24;584;1;615;6281;15.6;58;452;3434;57929;33882;java=33882;14409;9.9;4309;6084;13.5;"0=186;5=94;10=79;20=34;30=41;60=12;90=6";1.7;"1=2108;2=668;4=192;6=65;8=26;10=16;12=25";39;0;166;0;49;472;544;1270;0;1270;0
20/11/2015;89;5;866;5;1125;81;1104;1027830;0;2.1;21791;1;0.636029304;0;0;19124;19124;37;26;712;1.2;619;6315;15.6;58;455;3480;58506;34261;java=34261;14585;10;4364;6160;13.5;"0=185;5=96;10=79;20=37;30=40;60=12;90=6";1.7;"1=2139;2=678;4=194;6=66;8=28;10=16;12=24";39;0;165;0;48;476;546;1274;0;1274;0
27/11/2015;89;5;866;5;1125;81;1107;1029210;0;2.1;21800;1;0.635438832;0;0;19139;19139;37;26;712;1.2;621;6294;15.5;58;455;3485;58534;34307;java=34307;14595;9.9;4368;6171;13.6;"0=185;5=96;10=79;20=36;30=41;60=12;90=6";1.7;"1=2142;2=679;4=194;6=66;8=28;10=16;12=24";39;0;165;0;48;477;548;1277;0;1277;0
4/12/2015;90;5;871;5;1125;81;1107;1045770;0;2.1;21856;1;0.626982989;0;0;19374;19374;35;24;682;1.1;640;6376;15.5;58;468;3555;59608;34859;java=34859;14793;9.8;4456;6265;13.4;"0=193;5=97;10=83;20=36;30=41;60=11;90=7";1.7;"1=2187;2=691;4=196;6=63;8=28;10=16;12=26";40;0;167;0;47;485;539;1278;0;1278;0
11/12/2015;91;5;881;5;1145;83;1105;1067730;0;2.1;22021;1;0.618723835;0;0;19739;19739;41;28;768;1.3;660;6476;15.4;58;474;3633;60842;35591;java=35591;15124;9.7;4571;6400;13.5;"0=192;5=100;10=87;20=35;30=42;60=11;90=7";1.7;"1=2240;2=709;4=196;6=64;8=29;10=16;12=27";41;0;166;0;52;474;546;1279;0;1279;0
18/12/2015;92;5;896;5;1145;83;1103;1069050;0;2.1;22023;1;0.618015996;0;0;19773;19773;45;28;776;1.3;661;6467;15.4;58;476;3638;60935;35635;java=35635;15146;9.7;4567;6414;13.5;"0=194;5=100;10=86;20=36;30=42;60=11;90=7";1.7;"1=2243;2=707;4=196;6=66;8=31;10=16;12=26";41;0;166;0;52;475;544;1278;0;1278;0
25/12/2015;92;5;896;5;1145;83;1040;1072350;0;2;21904;1;0.612785005;0;0;19784;19784;45;28;776;1.3;661;6466;15.3;58;476;3638;61045;35745;java=35745;15146;9.7;4567;6414;13.5;"0=194;5=100;10=86;20=36;30=42;60=11;90=7";1.7;"1=2243;2=707;4=196;6=66;8=31;10=16;12=26";41;0;155;0;52;477;490;1215;0;1215;0
1/1/2016;92;5;896;5;1145;83;1040;1072350;0;2;21904;1;0.612785005;0;0;19784;19784;45;28;776;1.3;661;6466;15.3;58;476;3638;61045;35745;java=35745;15146;9.7;4567;6414;13.5;"0=194;5=100;10=86;20=36;30=42;60=11;90=7";1.7;"1=2243;2=707;4=196;6=66;8=31;10=16;12=26";41;0;155;0;52;477;490;1215;0;1215;0
8/1/2016;92;5;896;5;1160;84;1073;1104600;0;2.1;23655;1;0.642449756;0;0;20166;20166;53;32;884;1.4;689;6716;15.4;58;502;3786;63250;36820;java=36820;15448;9.6;4617;6594;13.1;"0=209;5=107;10=89;20=36;30=43;60=11;90=7";1.7;"1=2337;2=737;4=196;6=67;8=31;10=16;12=26";41;0;155;0;64;498;491;1249;0;1249;0
