date;bugs;reliability_rating;reliability_remediation_effort;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;coverage;line_coverage;lines_to_cover;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;classes;comment_lines;comment_lines_density;directories;files;functions;lines;ncloc;ncloc_language_distribution;statements;class_complexity;cognitive_complexity;complexity;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;open_issues;reopened_issues;violations;wont_fix_issues
18/12/2015;262;5;3023;5;2230;128;4645;6220470;0;1;63719;1;0.307303146;0;0;101728;101728;829;311;17568;5.3;1955;32602;13.6;519;1942;17383;330159;207349;"java=164645;js=33199;xml=9505";86039;13.8;31579;34527;19.5;"0=807;5=280;10=272;20=118;30=162;60=58;90=70";1.9;"1=7459;2=1628;4=586;6=310;8=144;10=87;12=181";98;0;957;0;71;1952;1957;5035;0;5035;0
25/12/2015;261;5;3013;5;2230;128;4645;6222300;0;1;63719;1;0.307212767;0;0;101764;101764;829;311;17568;5.3;1955;32606;13.6;519;1942;17383;330225;207410;"java=164706;js=33199;xml=9505";86071;13.8;31587;34548;19.6;"0=807;5=280;10=272;20=118;30=162;60=57;90=71";1.9;"1=7458;2=1628;4=586;6=310;8=144;10=87;12=182";98;0;957;0;71;1951;1957;5034;0;5034;0
1/1/2016;261;5;3008;5;2230;128;4665;6234870;0;1;64114;1;0.308494002;0;0;101951;101951;829;311;17568;5.3;1958;32695;13.6;523;1946;17395;330814;207829;"java=165019;js=33199;xml=9611";86151;13.8;31602;34572;19.6;"0=807;5=280;10=272;20=118;30=163;60=57;90=71";1.9;"1=7461;2=1635;4=585;6=310;8=142;10=89;12=183";98;0;959;0;71;1964;1962;5054;0;5054;0
8/1/2016;263;5;3028;5;2230;128;4712;6311730;0;1;64966;1;0.308786973;0;0;103158;103158;853;322;19097;5.7;1975;33211;13.6;525;1964;17647;332241;210391;"java=167242;js=33540;xml=9609";87156;13.9;31902;34999;19.6;"0=814;5=281;10=274;20=122;30=166;60=56;90=73";1.9;"1=7576;2=1646;4=596;6=311;8=147;10=89;12=183";98;0;964;0;78;1992;1971;5103;0;5103;0
15/1/2016;267;5;3078;5;2215;127;4740;6412950;0;1;65533;1;0.306565621;0;0;104647;104647;865;323;19532;5.7;2018;33784;13.6;535;2002;18013;340925;213765;"java=170311;js=33802;xml=9652";88400;13.8;32211;35535;19.5;"0=833;5=290;10=279;20=122;30=170;60=57;90=73";1.9;"1=7735;2=1691;4=605;6=316;8=150;10=89;12=184";98;0;978;0;79;2005;1974;5134;0;5134;0
22/1/2016;255;5;2958;5;2270;131;4820;6385680;0;1;67016;1;0.314841959;0;0;104228;104228;868;331;19303;5.7;2016;33543;13.6;542;2011;17780;339479;212856;"java=169481;js=33612;xml=9763";87906;13.7;32190;35303;19.3;"0=842;5=285;10=282;20=125;30=168;60=57;90=71";1.9;"1=7662;2=1661;4=606;6=310;8=151;10=91;12=185";98;0;978;0;92;2024;2014;5206;0;5206;0
29/1/2016;256;5;2968;5;2270;131;4828;6427620;0;1;67159;1;0.313455058;0;0;104813;104813;871;330;19324;5.7;2022;33642;13.6;542;2016;17887;341444;214254;"java=170493;js=33687;xml=10074";88255;13.7;32287;35475;19.3;"0=842;5=286;10=282;20=127;30=169;60=58;90=71";1.9;"1=7748;2=1661;4=607;6=314;8=151;10=92;12=186";98;0;976;0;92;2030;2019;5215;0;5215;0
5/2/2016;264;5;3043;5;2285;132;5086;6687660;0;1;69966;1;0.313858659;0;0;109345;109345;898;342;20114;5.7;2102;35255;13.7;568;2095;18528;352322;222922;"java=178457;js=33936;xml=10529";91531;13.8;33376;36698;19.3;"0=868;5=300;10=297;20=130;30=177;60=60;90=73";1.9;"1=8047;2=1766;4=643;6=334;8=166;10=94;12=190";100;0;1009;0;92;2114;2167;5482;0;5482;0
12/2/2016;265;5;3053;5;2285;132;5117;6689580;0;1.1;70604;1;0.316629744;0;0;109390;109390;898;342;20114;5.7;2103;35271;13.7;568;2096;18537;355610;222986;"java=178534;js=33949;xml=10503";91570;13.8;33387;36721;19.3;"0=868;5=301;10=297;20=130;30=177;60=60;90=73";1.9;"1=8055;2=1765;4=641;6=335;8=167;10=92;12=192";100;0;1010;0;92;2143;2169;5514;0;5514;0
19/2/2016;264;5;3043;5;2325;134;5123;6713280;0;1.1;70733;1;0.31608841;0;0;109670;109670;900;342;20270;5.7;2110;35385;13.7;570;2103;18601;356829;223776;"java=178981;js=34113;xml=10682";91812;13.8;33475;36848;19.3;"0=872;5=301;10=298;20=131;30=178;60=60;90=73";1.9;"1=8060;2=1763;4=642;6=333;8=169;10=92;12=193";101;0;1008;0;92;2146;2174;5521;0;5521;0
