date;bugs;reliability_rating;reliability_remediation_effort;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;coverage;line_coverage;lines_to_cover;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;classes;comment_lines;comment_lines_density;directories;files;functions;lines;ncloc;ncloc_language_distribution;statements;class_complexity;cognitive_complexity;complexity;file_complexity;file_complexity_distribution;function_complexity;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;open_issues;reopened_issues;violations;wont_fix_issues
2/10/2015;408;5;3078;2;5100;404;9560;4422720;0;2;88218;1;0.598396462;0;0;87417;87417;935;244;17877;7.7;1326;30772;17.3;55;845;9612;230712;147424;"java=146328;py=67;xml=1029";75254;23.8;35292;31466;37.3;"0=161;5=185;10=207;20=79;30=101;60=33;90=78";3.3;117;0;1444;0;245;3073;5493;10372;0;10372;0
9/10/2015;411;5;3098;2;5100;404;9649;4467450;0;2;88939;1;0.597246752;0;0;88360;88360;938;247;17902;7.7;1334;31261;17.4;55;851;9705;233392;148915;"java=147815;py=67;xml=1033";76071;23.9;35846;31907;37.5;"0=165;5=185;10=209;20=78;30=101;60=34;90=78";3.3;123;0;1455;0;243;3093;5550;10464;0;10464;0
16/10/2015;417;5;3128;2;5160;408;9595;4464540;0;2;88389;1;0.593940249;0;0;88309;88309;917;245;17260;7.4;1334;31243;17.4;55;851;9688;233217;148818;"java=147718;py=67;xml=1033";76048;24;35924;31942;37.6;"0=164;5=185;10=212;20=79;30=97;60=35;90=78";3.3;126;0;1456;0;242;3071;5525;10420;0;10420;0
23/10/2015;417;5;3148;2;5200;412;9610;4472460;0;2;88554;1;0.593995251;0;0;88492;88492;919;246;17306;7.4;1337;31314;17.4;55;851;9702;233632;149082;"java=148001;py=67;xml=1014";76203;24;36049;32026;37.7;"0=164;5=184;10=213;20=77;30=99;60=36;90=77";3.3;126;0;1461;0;239;3079;5534;10439;0;10439;0
30/10/2015;419;5;3163;2;5200;412;9640;4484070;0;2;88706;1;0.593474232;0;0;88711;88711;908;244;17187;7.3;1337;31392;17.4;55;851;9716;234090;149469;"java=148281;py=67;xml=1121";76326;24.1;36234;32195;37.9;"0=164;5=184;10=211;20=79;30=98;60=37;90=77";3.3;126;0;1464;0;237;3085;5559;10471;0;10471;0
6/11/2015;421;5;3178;2;5200;412;9653;4489950;0;2;88816;1;0.593431998;0;0;88822;88822;908;244;17187;7.3;1339;31434;17.4;55;853;9730;234432;149665;"java=148475;py=67;xml=1123";76429;24.1;36285;32235;37.8;"0=163;5=185;10=213;20=79;30=98;60=37;90=77";3.3;130;0;1465;0;237;3090;5564;10486;0;10486;0
13/11/2015;418;5;3163;2;5200;412;9672;4493100;0;2;88878;1;0.593429926;0;0;88855;88855;908;244;17187;7.3;1339;31559;17.4;55;853;9743;234709;149770;"java=148529;py=98;xml=1143";76490;24.1;36291;32260;37.9;"0=163;5=184;10=214;20=79;30=98;60=37;90=77";3.3;127;0;1463;0;237;3094;5581;10502;0;10502;0
20/11/2015;419;5;3168;2;5200;412;9698;4500690;0;2;89166;1;0.594348867;0;0;89030;89030;908;244;17187;7.3;1341;31734;17.5;55;855;9765;235257;150023;"java=148808;py=98;xml=1117";76629;24.1;36352;32346;37.9;"0=164;5=185;10=214;20=78;30=99;60=37;90=77";3.3;127;0;1469;0;237;3105;5591;10529;0;10529;0
27/11/2015;421;5;3198;2;5210;413;9771;4532040;0;2;89596;1;0.593083909;0;0;89718;89718;892;243;17394;7.3;1346;32063;17.5;55;858;9817;236888;151068;"java=149853;py=98;xml=1117";77164;24.3;36641;32620;38.1;"0=159;5=188;10=219;20=78;30=99;60=36;90=78";3.3;128;0;1473;0;239;3142;5623;10605;0;10605;0
4/12/2015;420;5;3196;2;5210;413;9772;4534620;0;2;89612;1;0.592852323;0;0;89760;89760;892;243;17394;7.3;1346;32102;17.5;55;858;9818;238936;151154;"java=149906;py=98;xml=1150";77194;24.3;36664;32652;38.1;"0=158;5=189;10=219;20=78;30=99;60=36;90=78";3.3;128;0;1474;0;239;3141;5623;10605;0;10605;0
11/12/2015;419;5;3181;2;5210;413;9776;4538820;0;2;89642;1;0.592502016;0;0;89816;89816;892;243;17394;7.3;1346;32129;17.5;55;858;9831;239126;151294;"java=150005;py=98;xml=1191";77247;24.3;36704;32686;38.1;"0=158;5=189;10=219;20=80;30=97;60=35;90=79";3.3;128;0;1475;0;239;3134;5632;10608;0;10608;0
18/12/2015;420;5;3183;2;5210;413;9774;4541670;0;2;89547;1;0.591502685;0;0;89879;89879;892;241;17389;7.3;1347;32143;17.5;55;858;9843;239235;151389;"java=150100;py=98;xml=1191";77300;24.3;36765;32721;38.2;"0=158;5=190;10=218;20=80;30=97;60=35;90=79";3.3;128;0;1477;0;240;3123;5639;10607;0;10607;0
25/12/2015;420;5;3183;2;5210;413;9790;4545180;0;2;89675;1;0.59189075;0;0;89953;89953;893;241;17410;7.3;1348;32175;17.5;55;858;9851;239401;151506;"java=150217;py=98;xml=1191";77358;24.3;36797;32750;38.2;"0=158;5=190;10=218;20=80;30=97;60=35;90=79";3.3;129;0;1477;0;240;3126;5651;10623;0;10623;0
1/1/2016;427;5;3263;2;5210;413;9747;4551270;0;2;89392;1;0.589233335;0;0;90066;90066;898;233;17236;7.2;1354;32073;17.5;55;860;9866;239475;151709;"java=150420;py=98;xml=1191";77502;24.2;36808;32751;38.1;"0=158;5=189;10=220;20=81;30=97;60=35;90=79";3.3;129;0;1478;0;236;3090;5654;10587;0;10587;0
8/1/2016;429;5;3268;2;5210;413;9720;4560180;0;2;89114;1;0.586253174;0;0;90282;90282;894;231;17058;7.1;1358;32016;17.4;55;861;9870;239782;152006;"java=150740;py=98;xml=1168";77681;24.2;36793;32822;38.2;"0=158;5=191;10=219;20=81;30=97;60=33;90=81";3.3;132;0;1477;0;236;3052;5665;10562;0;10562;0
15/1/2016;438;5;3343;2;5270;417;9784;4582140;0;2;89652;1;0.586965915;0;0;90746;90746;888;231;17015;7.1;1358;32250;17.4;55;861;9897;240777;152738;"java=151357;py=98;xml=1283";78059;24.3;36954;32991;38.4;"0=158;5=191;10=219;20=81;30=97;60=33;90=81";3.3;132;0;1487;0;243;3085;5692;10639;0;10639;0
22/1/2016;445;5;3388;2;5270;417;9832;4616550;0;1.9;90019;1;0.584975794;0;0;91516;91516;909;235;17294;7.1;1366;32716;17.5;55;866;10072;242944;153885;"java=152503;py=98;xml=1284";78719;24.3;36899;33129;38.3;"0=159;5=190;10=220;20=82;30=97;60=34;90=83";3.3;132;0;1484;0;254;3109;5715;10694;0;10694;0
29/1/2016;449;5;3428;2;5180;411;9839;4627770;0;1.9;90126;1;0.584251162;0;0;91759;91759;906;236;17387;7.1;1366;32853;17.6;55;866;10079;243428;154259;"java=152862;py=98;xml=1299";78925;24.3;37037;33223;38.4;"0=159;5=189;10=220;20=82;30=98;60=34;90=83";3.3;132;0;1479;0;253;3116;5719;10699;0;10699;0
5/2/2016;449;5;3428;2;5180;411;9831;4628250;0;1.9;90086;1;0.583931292;0;0;91777;91777;906;236;17387;7.1;1366;32951;17.6;55;866;10079;243577;154275;"java=152878;py=98;xml=1299";78934;24.4;37041;33237;38.4;"0=159;5=189;10=220;20=82;30=98;60=34;90=83";3.3;132;0;1479;0;253;3108;5719;10691;0;10691;0
12/2/2016;449;5;3428;2;5180;411;9810;4628430;0;1.9;89953;1;0.583046519;0;0;91775;91775;906;236;17360;7.1;1366;32927;17.6;55;866;10082;243552;154281;"java=152884;py=98;xml=1299";78937;24.4;37049;33246;38.4;"0=159;5=189;10=220;20=82;30=98;60=34;90=83";3.3;132;0;1479;0;253;3086;5720;10670;0;10670;0
19/2/2016;449;5;3425;2;5150;408;9784;4631730;0;1.9;89506;1;0.579735865;0;0;91891;91891;873;233;16359;6.7;1362;32908;17.6;56;862;10128;243799;154391;"java=152994;py=98;xml=1299";78982;24.5;37242;33344;38.7;"0=156;5=188;10=221;20=80;30=98;60=33;90=85";3.3;130;0;1473;0;254;3049;5735;10641;0;10641;0
26/2/2016;449;5;3425;2;5150;408;9786;4632030;0;1.9;89536;1;0.579892617;0;0;91899;91899;873;233;16359;6.7;1362;32909;17.6;56;862;10128;243812;154401;"java=153004;py=98;xml=1299";78989;24.5;37245;33346;38.7;"0=156;5=188;10=221;20=80;30=98;60=33;90=85";3.3;130;0;1473;0;254;3049;5737;10643;0;10643;0
