date;bugs;new_bugs;reliability_remediation_effort;new_reliability_remediation_effort;reliability_rating;new_reliability_rating;vulnerabilities;new_vulnerabilities;security_remediation_effort;new_security_remediation_effort;security_rating;new_security_rating;code_smells;new_code_smells;sqale_index;new_technical_debt;sqale_rating;new_maintainability_rating;development_cost;sqale_debt_ratio;new_sqale_debt_ratio;effort_to_reach_maintainability_rating_a;normalized_td;tests;test_execution_time;test_errors;skipped_tests;test_failures;test_success_density;test_data;coverage;new_coverage;lines_to_cover;new_lines_to_cover;uncovered_lines;new_uncovered_lines;line_coverage;new_line_coverage;coverage_line_hits_data;conditions_to_cover;new_conditions_to_cover;uncovered_conditions;new_uncovered_conditions;branch_coverage;new_branch_coverage;conditions_by_line;covered_conditions_by_line;it_coverage;new_it_coverage;it_lines_to_cover;new_it_lines_to_cover;it_uncovered_lines;new_it_uncovered_lines;it_line_coverage;new_it_line_coverage;it_coverage_line_hits_data;it_conditions_to_cover;new_it_conditions_to_cover;it_uncovered_conditions;new_it_uncovered_conditions;it_branch_coverage;new_it_branch_coverage;it_conditions_by_line;it_covered_conditions_by_line;overall_coverage;new_overall_coverage;overall_lines_to_cover;new_overall_lines_to_cover;overall_uncovered_lines;new_overall_uncovered_lines;overall_line_coverage;new_overall_line_coverage;overall_coverage_line_hits_data;overall_conditions_to_cover;new_overall_conditions_to_cover;overall_uncovered_conditions;new_overall_uncovered_conditions;overall_branch_coverage;new_overall_branch_coverage;overall_conditions_by_line;overall_covered_conditions_by_line;executable_lines_data;duplicated_lines;new_duplicated_lines;duplicated_blocks;new_duplicated_blocks;duplicated_files;duplicated_lines_density;new_duplicated_lines_density;duplications_data;lines;generated_lines;ncloc;new_lines;ncloc_language_distribution;generated_ncloc;classes;files;directories;functions;statements;projects;comment_lines;comment_lines_density;ncloc_data;comment_lines_data;team_size;complexity;file_complexity;complexity_in_classes;class_complexity;complexity_in_functions;function_complexity;class_complexity_distribution;function_complexity_distribution;file_complexity_distribution;cognitive_complexity;violations;blocker_violations;critical_violations;major_violations;minor_violations;info_violations;new_violations;new_blocker_violations;new_critical_violations;new_major_violations;new_minor_violations;new_info_violations;false_positive_issues;wont_fix_issues;open_issues;reopened_issues;confirmed_issues;commented_out_code_lines;public_api;public_documented_api_density;public_undocumented_api
21/12/2018;0;;0;;1;;0;;0;;1;;298;;3990;;1;;298110;1.3;;0;0.401529637;;;;;;;;0;;3761;;3761;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;948;;50;;14;6.6;;;14365;;9937;;"java=8460;xml=1477";;127;149;31;1867;2798;;344;3.3;;;;2045;16.1;;16.1;;1.1;;"1=1769;2=68;4=17;6=3;8=1;10=0;12=0";"0=22;5=49;10=39;20=8;30=4;60=2;90=3";240;298;1;9;58;229;1;;;;;;;0;0;298;0;0;;;;
3/1/2019;2;;20;;3;;0;;0;;1;;484;;4810;;1;;374760;1.3;2.212065814;0;0.38504643;;;;;;;;0;;5142;;5142;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1202;;45;;13;6.6;;;18208;;12492;;"java=10988;xml=1504";;149;171;32;2142;3918;;761;5.7;;;;2571;17.3;;17.3;;1.2;;"1=1942;2=130;4=38;6=12;8=6;10=0;12=0";"0=25;5=57;10=39;20=13;30=9;60=2;90=4";603;486;1;29;178;272;6;;;;;;;0;0;486;0;0;;;;
5/1/2019;0;;0;;1;;0;;0;;1;;465;;4690;;1;;365400;1.3;2.345596433;0;0.385057471;;;;;;;;0;;4956;;4956;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;872;;43;;11;4.9;;;17835;;12180;;"java=10676;xml=1504";;147;169;32;2114;3746;;759;5.9;;;;2495;17;;17;;1.2;;"1=1930;2=122;4=32;6=10;8=6;10=0;12=0";"0=25;5=57;10=39;20=13;30=7;60=2;90=4";523;465;1;27;170;261;6;;;;;;;0;0;465;0;0;;;;
6/1/2019;0;;0;;1;;0;;0;;1;;466;;4698;;1;;365400;1.3;2.363433668;0;0.385714286;;;;;;;;0;;4961;;4961;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;872;;43;;11;4.9;;;17836;;12180;;"java=10681;xml=1499";;147;169;32;2114;3748;;759;5.9;;;;2495;17;;17;;1.2;;"1=1930;2=122;4=32;6=10;8=6;10=0;12=0";"0=25;5=57;10=39;20=13;30=7;60=2;90=4";523;466;1;28;170;261;6;;;;;;;0;0;466;0;0;;;;
8/1/2019;0;;0;;1;;5;;25;;2;;832;;13556;;1;;365400;3.7;15.97324415;0;1.112972085;;;;;;;;0;;4961;;4961;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;872;;43;;11;4.9;;;17836;;12180;;"java=10681;xml=1499";;147;169;32;2114;3748;;759;5.9;;;;2495;17;;17;;1.2;;"1=1930;2=122;4=32;6=10;8=6;10=0;12=0";"0=25;5=57;10=39;20=13;30=7;60=2;90=4";523;837;1;80;400;346;10;;;;;;;0;0;837;0;0;;;;
9/1/2019;0;;0;;1;;0;;0;;1;;664;;6761;;1;;365430;1.9;6.215505913;0;0.555044742;;;;;;;;0;;4961;;4961;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;872;;43;;11;4.9;;;17687;;12181;;"java=10682;xml=1499";;147;169;32;2114;3748;;732;5.7;;;;2495;17;;17;;1.2;;"1=1930;2=122;4=32;6=10;8=6;10=0;12=0";"0=25;5=57;10=39;20=13;30=7;60=2;90=4";523;664;1;77;235;341;10;;;;;;;0;0;664;0;0;;;;
12/1/2019;4;;50;;3;;7;;40;;2;;739;;7059;;1;;486990;1.4;3.452162195;0;0.434854925;;;;;;;;0;;6804;;6804;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1126;;53;;14;5;;;22710;;16233;;"java=14674;xml=1559";;191;213;37;2224;5147;;841;4.9;;;;2880;15.2;;15.1;;1.3;;"1=1884;2=236;4=56;6=13;8=8;10=0;12=0";"0=39;5=64;10=51;20=15;30=12;60=4;90=5";910;750;1;130;345;239;35;;;;;;;0;0;750;0;0;;;;
18/1/2019;3;;40;;3;;3;;20;;2;;714;;7881;;1;;556110;1.4;2.633066796;0;0.425149701;;;;;;;;0;;8022;;8022;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1183;;73;;17;4.6;;;25483;;18537;;"java=16923;xml=1614";;212;234;38;2461;6067;;652;3.4;;;;3286;15.6;;15.5;;1.3;;"1=2058;2=273;4=74;6=16;8=13;10=0;12=0";"0=43;5=73;10=56;20=11;30=18;60=1;90=9";1138;720;7;117;303;257;36;;;;;;;0;0;720;0;0;;;;
27/2/2019;16;;200;;3;;11;;100;;2;;1085;;12946;;1;;893850;1.4;2.088026805;0;0.434502433;;;;;;;;0;;13931;;13931;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1248;;88;;26;3.1;;;40111;;29795;;"java=27768;xml=2027";;287;319;55;3706;10680;;944;3.1;;;;5196;18.2;;18.1;;1.4;;"1=2956;2=496;4=129;6=39;8=18;10=7;12=0";"0=67;5=80;10=75;20=25;30=20;60=6;90=13";2095;1112;0;222;465;405;20;;;;;;;0;0;1112;0;0;;;;
10/3/2019;12;;165;;3;;9;;90;;2;;1140;;13613;;1;;936840;1.5;2.04819466;0;0.43592289;;;;;;;;0;;14716;;14716;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1408;;90;;28;3.3;;;42114;;31228;;"java=29192;xml=2036";;295;327;55;3874;11331;;1031;3.2;;;;5466;18.6;;18.5;;1.4;;"1=3060;2=522;4=139;6=45;8=18;10=9;12=0";"0=70;5=80;10=77;20=25;30=22;60=7;90=13";2312;1161;0;239;491;408;23;;;;;;;0;0;1161;0;0;;;;
17/3/2019;12;;165;;3;;9;;90;;2;;1150;;13753;;1;;974700;1.4;1.953456719;0;0.423299477;;;;;;;;0;;14796;;14796;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1590;;96;;34;3.6;;;43892;;32490;;"java=29463;xml=3027";;304;353;71;3912;11396;;1089;3.2;;;;5488;18.1;;18.1;;1.4;;"1=3070;2=525;4=141;6=44;8=18;10=9;12=0";"0=79;5=80;10=77;20=25;30=22;60=7;90=13";2331;1171;0;239;501;408;23;;;;;;;0;0;1171;0;0;;;;
24/3/2019;12;;165;;3;;9;;90;;2;;1152;;13786;;1;;977460;1.4;1.949771689;0;0.423117058;;;;;;;;0;;14831;;14831;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1590;;96;;34;3.6;;;43989;;32582;;"java=29552;xml=3030";;304;352;71;3931;11424;;1091;3.2;;;;5510;18.2;;18.1;;1.4;;"1=3088;2=526;4=141;6=44;8=18;10=9;12=0";"0=79;5=80;10=77;20=25;30=22;60=7;90=13";2335;1173;0;240;503;407;23;;;;;;;0;0;1173;0;0;;;;
31/3/2019;12;;165;;3;;11;;90;;3;;1195;;14235;;1;;989220;1.4;1.977631351;0;0.431703767;;;;;;;;0;;15029;;15029;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1610;;98;;36;3.6;;;44522;;32974;;"java=29948;xml=3026";;308;356;71;3971;11601;;1123;3.3;;;;5562;18.1;;18.1;;1.4;;"1=3120;2=531;4=142;6=44;8=18;10=9;12=0";"0=79;5=83;10=77;20=26;30=22;60=7;90=13";2348;1218;0;242;526;424;26;;;;;;;0;0;1218;0;0;;;;
4/4/2019;12;;165;;3;;11;;90;;3;;1195;;14235;;1;;989220;1.4;1.977459905;0;0.431703767;;;;;;;;0;;15029;;15029;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1610;;98;;36;3.6;;;44523;;32974;;"java=29948;xml=3026";;308;356;71;3971;11601;;1123;3.3;;;;5562;18.1;;18.1;;1.4;;"1=3120;2=531;4=142;6=44;8=18;10=9;12=0";"0=79;5=83;10=77;20=26;30=22;60=7;90=13";2348;1218;0;242;526;424;26;;;;;;;0;0;1218;0;0;;;;
12/5/2019;25;;297;;3;;14;;110;;3;;1538;;18136;;1;;1194330;1.5;1.947425367;0;0.455552485;;;;;;;;0;;18671;;18671;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2409;;132;;48;4.5;;;53393;;39811;;"java=36860;xml=2951";;347;391;73;4847;14225;;1287;3.1;;;;6816;19.7;;19.6;;1.4;;"1=3794;2=657;4=180;6=49;8=21;10=11;12=1";"0=85;5=95;10=80;20=29;30=32;60=8;90=17";2911;1577;1;339;692;507;38;;;;;;;0;0;1577;0;0;;;;
19/5/2019;22;;252;;3;;11;;90;;3;;1527;;17930;;1;;1180650;1.5;1.909542244;0;0.455596493;;;;;;;;0;;18603;;18603;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2379;;132;;48;4.5;;;52574;;39355;;"java=36457;xml=2898";;332;376;70;4750;14168;;1235;3;;;;6727;20.3;;20.3;;1.4;;"1=3712;2=646;4=182;6=52;8=21;10=9;12=1";"0=77;5=95;10=77;20=28;30=29;60=8;90=18";2895;1560;1;337;687;498;37;;;;;;;0;0;1560;0;0;;;;
26/5/2019;22;;252;;3;;11;;90;;3;;1517;;17910;;1;;1178610;1.5;1.909861376;0;0.45587599;;;;;;;;0;;18610;;18610;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2379;;132;;48;4.5;;;52482;;39287;;"java=36462;xml=2825";;332;375;69;4753;14174;;1233;3;;;;6731;20.3;;20.3;;1.4;;"1=3715;2=646;4=182;6=52;8=21;10=9;12=1";"0=77;5=95;10=77;20=28;30=29;60=8;90=18";2897;1550;1;337;687;488;37;;;;;;;0;0;1550;0;0;;;;
