date;bugs;new_bugs;reliability_remediation_effort;new_reliability_remediation_effort;reliability_rating;new_reliability_rating;vulnerabilities;new_vulnerabilities;security_remediation_effort;new_security_remediation_effort;security_rating;new_security_rating;code_smells;new_code_smells;sqale_index;new_technical_debt;sqale_rating;new_maintainability_rating;development_cost;sqale_debt_ratio;new_sqale_debt_ratio;effort_to_reach_maintainability_rating_a;normalized_td;tests;test_execution_time;test_errors;skipped_tests;test_failures;test_success_density;test_data;coverage;new_coverage;lines_to_cover;new_lines_to_cover;uncovered_lines;new_uncovered_lines;line_coverage;new_line_coverage;coverage_line_hits_data;conditions_to_cover;new_conditions_to_cover;uncovered_conditions;new_uncovered_conditions;branch_coverage;new_branch_coverage;conditions_by_line;covered_conditions_by_line;it_coverage;new_it_coverage;it_lines_to_cover;new_it_lines_to_cover;it_uncovered_lines;new_it_uncovered_lines;it_line_coverage;new_it_line_coverage;it_coverage_line_hits_data;it_conditions_to_cover;new_it_conditions_to_cover;it_uncovered_conditions;new_it_uncovered_conditions;it_branch_coverage;new_it_branch_coverage;it_conditions_by_line;it_covered_conditions_by_line;overall_coverage;new_overall_coverage;overall_lines_to_cover;new_overall_lines_to_cover;overall_uncovered_lines;new_overall_uncovered_lines;overall_line_coverage;new_overall_line_coverage;overall_coverage_line_hits_data;overall_conditions_to_cover;new_overall_conditions_to_cover;overall_uncovered_conditions;new_overall_uncovered_conditions;overall_branch_coverage;new_overall_branch_coverage;overall_conditions_by_line;overall_covered_conditions_by_line;executable_lines_data;duplicated_lines;new_duplicated_lines;duplicated_blocks;new_duplicated_blocks;duplicated_files;duplicated_lines_density;new_duplicated_lines_density;duplications_data;lines;generated_lines;ncloc;new_lines;ncloc_language_distribution;generated_ncloc;classes;files;directories;functions;statements;projects;comment_lines;comment_lines_density;ncloc_data;comment_lines_data;team_size;complexity;file_complexity;complexity_in_classes;class_complexity;complexity_in_functions;function_complexity;class_complexity_distribution;function_complexity_distribution;file_complexity_distribution;cognitive_complexity;violations;blocker_violations;critical_violations;major_violations;minor_violations;info_violations;new_violations;new_blocker_violations;new_critical_violations;new_major_violations;new_minor_violations;new_info_violations;false_positive_issues;wont_fix_issues;open_issues;reopened_issues;confirmed_issues;commented_out_code_lines;public_api;public_documented_api_density;public_undocumented_api
23/2/2019;61;;575;;3;;32;;320;;2;;4627;;44637;;1;;3315900;1.3;0;0;0.40384511;;;;;;;;0;;56002;;56002;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21971;;694;;237;14.4;;;152406;;110530;;"java=106906;js=5;xml=3619";;885;933;79;15082;43298;;8058;6.8;;;;21557;24.4;;24.4;;1.4;;"1=10815;2=1316;4=475;6=159;8=52;10=15;12=46";"0=239;5=201;10=209;20=81;30=75;60=34;90=44";9994;4720;0;374;2489;1669;188;;;;;;;0;0;4720;0;0;;;;
1/3/2019;73;;677;;3;;34;;340;;2;;4846;;46976;;1;;3485010;1.3;1.256315084;0;0.404383345;;;;;;;;0;;59175;;59175;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25550;;758;;248;16;;;159526;;116167;;"java=112389;js=5;xml=3773";;915;965;83;15768;45912;;8168;6.6;;;;22677;24.8;;24.8;;1.4;;"1=8583;2=789;4=215;6=83;8=33;10=7;12=25";"0=246;5=208;10=218;20=80;30=77;60=35;90=49";10704;4953;0;407;2602;1750;194;;;;;;;0;0;4953;0;0;;;;
9/3/2019;84;;734;;3;;33;;330;;2;;5262;;51316;;1;;3798060;1.4;1.24394592;0;0.405333249;;;;;;;;0;;64541;;64541;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25677;;870;;277;14.8;;;173417;;126602;;"java=122755;js=5;xml=3842";;995;1046;85;17218;49816;;8554;6.3;;;;24488;24.6;;24.6;;1.4;;"1=12011;2=1416;4=505;6=174;8=63;10=15;12=48";"0=256;5=241;10=236;20=89;30=84;60=33;90=55";11235;5379;18;449;2834;1886;192;;;;;;;0;0;5379;0;0;;;;
16/3/2019;109;;1022;;3;;33;;330;;2;;5449;;53975;;1;;3994800;1.4;1.253375977;0;0.405339441;;;;;;;;0;;67945;;67945;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26613;;930;;297;14.6;;;181828;;133160;;"java=129319;js=5;xml=3836";;1043;1095;86;18173;52320;;8427;6;;;;25713;24.7;;24.7;;1.4;;"1=12816;2=1459;4=522;6=180;8=66;10=16;12=51";"0=260;5=256;10=257;20=93;30=85;60=33;90=59";11627;5591;20;496;2898;1993;184;;;;;;;0;0;5591;0;0;;;;
24/3/2019;113;;1075;;3;;33;;330;;2;;5314;;54618;;1;;4172670;1.3;1.254608228;0;0.392683821;;;;;;;;0;;71435;;71435;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29563;;1061;;313;15.7;;;188026;;139089;;"java=135220;js=5;xml=3864";;1054;1105;86;18830;54989;;7447;5.1;;;;26671;25.3;;25.3;;1.4;;"1=13313;2=1548;4=543;6=194;8=67;10=16;12=52";"0=260;5=250;10=262;20=94;30=90;60=35;90=62";12096;5460;23;515;2644;2088;190;;;;;;;0;0;5460;0;0;;;;
30/3/2019;121;;1138;;5;;52;;540;;2;;5550;;58514;;1;;4365480;1.3;1.438066024;0;0.402113857;;;;;;;;0;;75031;;75031;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33191;;1217;;337;17;;;195816;;145516;;"java=141609;js=5;xml=3902";;1103;1155;87;19586;57281;;7158;4.7;;;;27547;25;;25;;1.4;;"1=13888;2=1620;4=557;6=197;8=69;10=16;12=52";"0=274;5=267;10=267;20=100;30=94;60=36;90=64";12474;5723;40;573;2611;2299;200;;;;;;;0;0;5723;0;0;;;;
6/4/2019;132;;1258;;5;;55;;570;;2;;5969;;62446;;1;;4625220;1.4;1.427052762;0;0.405035869;;;;;;;;0;;79521;;79521;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34816;;1328;;361;16.8;;;207109;;154174;;"java=150171;js=5;xml=3998";;1157;1207;88;20847;60458;;7331;4.5;;;;29105;25.2;;25.2;;1.4;;"1=14885;2=1710;4=585;6=198;8=70;10=17;12=52";"0=278;5=281;10=283;20=106;30=100;60=42;90=66";12918;6156;46;622;2795;2472;221;;;;;;;0;0;6156;0;0;;;;
19/4/2019;127;;1216;;5;;55;;570;;2;;6328;;66732;;1;;4995600;1.3;1.357004546;0;0.400744655;;;;;;;;0;;86039;;86039;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37319;;1503;;400;16.7;;;222930;;166520;;"java=162479;js=5;xml=4036";;1241;1291;88;22368;65285;;7575;4.4;;;;31173;25.1;;25.1;;1.4;;"1=16042;2=1943;4=617;6=207;8=76;10=18;12=54";"0=287;5=309;10=303;20=113;30=111;60=46;90=71";13714;6510;35;642;2942;2658;233;;;;;;;0;0;6510;0;0;;;;
12/5/2019;146;;1423;;5;;55;;570;;2;;6693;;69884;;1;;5355750;1.3;1.260053962;0;0.391452178;;;;;;;;0;;93114;;93114;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43143;;1720;;409;18.1;;;238788;;178525;;"java=174228;js=5;xml=4292";;1276;1342;96;23640;70148;;8656;4.6;;;;33396;26.1;;26.2;;1.4;;"1=13997;2=1430;4=363;6=134;8=52;10=11;12=37";"0=296;5=314;10=317;20=112;30=116;60=46;90=78";15087;6894;45;699;3320;2601;229;;;;;;;0;0;6894;0;0;;;;
15/5/2019;147;;1518;;5;;55;;570;;2;;6884;;70602;;1;;5350500;1.3;1.267368385;0;0.395862069;;;;;;;;0;;92966;;92966;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42658;;1681;;409;17.8;;;239215;;178350;;"java=174049;xml=4301";;1281;1346;95;23637;69961;;9183;4.9;;;;33377;26;;26.1;;1.4;;"1=19188;2=2424;4=808;6=281;8=103;10=31;12=71";"0=299;5=313;10=320;20=112;30=114;60=45;90=80";15147;7086;51;709;3479;2610;237;;;;;;;0;0;7086;0;0;;;;
