date;bugs;reliability_rating;reliability_remediation_effort;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;coverage;line_coverage;lines_to_cover;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;classes;comment_lines;comment_lines_density;directories;files;functions;lines;ncloc;ncloc_language_distribution;statements;class_complexity;cognitive_complexity;complexity;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;open_issues;reopened_issues;violations;wont_fix_issues
28/7/2017;172;5;2158;5;760;51;4025;2298570;0;1.8;42454;1;0.554092327;0;0;40655;40655;298;137;6749;5.5;949;9881;11.4;275;942;6549;122952;76619;"java=70552;js=1565;xml=4502";34396;18.8;17591;18393;21.9;"0=344;5=116;10=169;20=65;30=71;60=35;90=39";2.7;"1=2906;2=991;4=347;6=166;8=85;10=61;12=176";19;0;745;0;121;1725;1638;4248;0;4248;0
4/8/2017;193;5;2350;5;820;55;4207;2293320;0;1.9;44192;1;0.578096384;0;0;40665;40665;298;137;6749;5.5;951;9874;11.4;275;944;6551;122782;76444;"java=70573;js=1565;xml=4306";34404;18.8;17591;18395;21.9;"0=346;5=116;10=169;20=65;30=71;60=35;90=39";2.7;"1=2908;2=991;4=347;6=166;8=85;10=61;12=176";26;0;755;0;121;1803;1750;4455;0;4455;0
11/8/2017;192;5;2345;5;820;55;4057;2287500;0;1.9;42833;1;0.561744262;0;0;42382;42382;298;135;6888;5.6;951;10157;11.8;275;944;6551;122132;76250;"java=70376;js=1604;xml=4270";34404;18.8;17591;18395;21.9;"0=346;5=116;10=169;20=65;30=71;60=35;90=39";2.7;"1=2908;2=991;4=347;6=166;8=85;10=61;12=176";26;0;625;0;121;1800;1732;4304;0;4304;0
18/8/2017;192;5;2345;5;820;55;4057;2287500;0;1.9;42833;1;0.561744262;0;0;42382;42382;298;135;6888;5.6;951;10157;11.8;275;944;6551;122132;76250;"java=70376;js=1604;xml=4270";34404;18.8;17591;18395;21.9;"0=346;5=116;10=169;20=65;30=71;60=35;90=39";2.7;"1=2908;2=991;4=347;6=166;8=85;10=61;12=176";26;0;625;0;121;1800;1732;4304;0;4304;0
25/8/2017;192;5;2345;5;820;55;4057;2287500;0;1.9;42833;1;0.561744262;0;0;42382;42382;298;135;6888;5.6;951;10157;11.8;275;944;6551;122132;76250;"java=70376;js=1604;xml=4270";34404;18.8;17591;18395;21.9;"0=346;5=116;10=169;20=65;30=71;60=35;90=39";2.7;"1=2908;2=991;4=347;6=166;8=85;10=61;12=176";26;0;625;0;121;1800;1732;4304;0;4304;0
1/9/2017;192;5;2345;5;820;55;4076;2290380;0;1.9;42911;1;0.562059571;0;0;42430;42430;300;136;6864;5.6;951;10165;11.7;275;944;6554;122249;76346;"java=70472;js=1604;xml=4270";34452;18.8;17646;18427;21.9;"0=346;5=116;10=168;20=66;30=70;60=35;90=40";2.7;"1=2906;2=994;4=347;6=165;8=87;10=61;12=177";26;0;627;0;125;1804;1741;4323;0;4323;0
8/9/2017;194;5;2370;5;820;55;4092;2295660;0;1.9;43112;1;0.563393534;0;0;42505;42505;300;136;6868;5.6;951;10197;11.8;275;944;6569;122475;76522;"java=70596;js=1604;xml=4322";34513;18.9;17676;18468;22;"0=345;5=117;10=165;20=67;30=72;60=35;90=40";2.7;"1=2914;2=994;4=350;6=167;8=88;10=60;12=178";27;0;627;0;125;1805;1757;4341;0;4341;0
15/9/2017;195;5;2385;5;810;54;4099;2292540;0;1.9;43211;1;0.565455783;0;0;42508;42508;305;139;6929;5.7;950;10204;11.8;275;943;6566;122376;76418;"java=70615;js=1604;xml=4199";34545;18.9;17698;18476;22;"0=344;5=116;10=166;20=67;30=72;60=35;90=40";2.7;"1=2910;2=992;4=351;6=169;8=88;10=60;12=178";27;0;628;0;127;1809;1757;4348;0;4348;0
22/9/2017;195;5;2385;5;810;54;4101;2293260;0;1.9;43238;1;0.565631459;0;0;42519;42519;305;139;6929;5.7;951;10205;11.8;275;944;6567;122405;76442;"java=70636;js=1604;xml=4202";34554;18.9;17707;18478;22;"0=345;5=116;10=166;20=67;30=72;60=35;90=40";2.7;"1=2911;2=992;4=351;6=169;8=87;10=61;12=178";27;0;629;0;127;1810;1757;4350;0;4350;0
29/9/2017;193;5;2368;5;810;54;4155;2316510;0;1.9;44308;1;0.573811466;0;0;42930;42930;307;141;6968;5.6;968;10241;11.7;276;961;6621;123411;77217;"java=71411;js=1604;xml=4202";34892;18.6;17788;18568;21.6;"0=360;5=117;10=167;20=66;30=72;60=36;90=40";2.7;"1=2940;2=1016;4=352;6=169;8=87;10=62;12=177";27;0;653;0;127;1844;1751;4402;0;4402;0
