date;bugs;reliability_remediation_effort;reliability_rating;vulnerabilities;security_remediation_effort;security_rating;code_smells;sqale_index;sqale_rating;development_cost;sqale_debt_ratio;new_sqale_debt_ratio;effort_to_reach_maintainability_rating_a;normalized_td;coverage;lines_to_cover;uncovered_lines;line_coverage;duplicated_lines;duplicated_blocks;duplicated_files;duplicated_lines_density;lines;ncloc;new_lines;ncloc_language_distribution;classes;files;directories;functions;statements;comment_lines;comment_lines_density;complexity;file_complexity;class_complexity;function_complexity;function_complexity_distribution;file_complexity_distribution;cognitive_complexity;violations;blocker_violations;critical_violations;major_violations;minor_violations;info_violations;false_positive_issues;wont_fix_issues;open_issues;reopened_issues;confirmed_issues
4/12/2006;22;140;5;8;120;2;209;2031;1;128910;1.6;0;0;0.472655341;0;2344;2344;0;346;10;7;2.8;12317;4297;;java=4297;57;54;4;536;1867;4496;51.1;1071;19.8;18.8;2;"1=329;2=139;4=34;6=15;8=4;10=3;12=4";"0=14;5=9;10=20;20=3;30=5;60=0;90=3";760;239;4;20;122;87;6;0;0;239;0;0
5/12/2006;22;140;5;7;105;2;209;2031;1;129000;1.6;0;0;0.472325581;0;2346;2346;0;346;10;7;2.8;12320;4300;;java=4300;57;54;4;536;1869;4496;51.1;1072;19.9;18.8;2;"1=329;2=139;4=34;6=15;8=4;10=3;12=4";"0=14;5=9;10=20;20=3;30=5;60=0;90=3";761;238;4;20;122;86;6;0;0;238;0;0
6/12/2006;22;140;5;7;105;2;211;2053;1;129660;1.6;0;0;0.475011569;0;2361;2361;0;346;10;7;2.8;12384;4322;;java=4322;58;54;4;540;1880;4532;51.2;1080;20;18.6;2;"1=330;2=141;4=35;6=15;8=4;10=3;12=4";"0=14;5=9;10=19;20=4;30=5;60=0;90=3";770;240;4;20;122;88;6;0;0;240;0;0
7/12/2006;19;115;5;7;105;2;211;2053;1;129720;1.6;0;0;0.474791859;0;2363;2363;0;346;10;7;2.8;12386;4324;;java=4324;58;54;4;540;1881;4532;51.2;1081;20;18.6;2;"1=329;2=142;4=35;6=15;8=4;10=3;12=4";"0=14;5=9;10=19;20=4;30=5;60=0;90=3";771;237;4;20;122;85;6;0;0;237;0;0
9/12/2006;19;115;5;7;105;2;211;2053;1;129720;1.6;0;0;0.474791859;0;2363;2363;0;346;10;7;2.8;12386;4324;;java=4324;58;54;4;540;1881;4532;51.2;1081;20;18.6;2;"1=329;2=142;4=35;6=15;8=4;10=3;12=4";"0=14;5=9;10=19;20=4;30=5;60=0;90=3";771;237;4;20;122;85;6;0;0;237;0;0
10/12/2006;21;125;5;7;105;2;212;2058;1;129810;1.6;555.555.555.555.556;0;0.475618211;0;2365;2365;0;346;10;7;2.8;12408;4327;;java=4327;58;54;4;541;1882;4546;51.2;1082;20;18.7;2;"1=330;2=142;4=35;6=15;8=4;10=3;12=4";"0=14;5=9;10=19;20=4;30=5;60=0;90=3";771;240;4;20;122;88;6;0;0;240;0;0
20/12/2006;21;125;5;7;105;2;212;2058;1;129810;1.6;0;0;0.475618211;0;2365;2365;0;346;10;7;2.8;12409;4327;;java=4327;58;54;4;541;1882;4547;51.2;1082;20;18.7;2;"1=330;2=142;4=35;6=15;8=4;10=3;12=4";"0=14;5=9;10=19;20=4;30=5;60=0;90=3";771;240;4;20;122;88;6;0;0;240;0;0
28/12/2006;21;125;5;7;105;2;212;2058;1;129810;1.6;0;0;0.475618211;0;2365;2365;0;346;10;7;2.8;12409;4327;;java=4327;58;54;4;541;1882;4547;51.2;1082;20;18.7;2;"1=330;2=142;4=35;6=15;8=4;10=3;12=4";"0=14;5=9;10=19;20=4;30=5;60=0;90=3";771;240;4;20;122;88;6;0;0;240;0;0
29/12/2006;21;125;5;7;105;2;218;2094;1;129990;1.6;151.515.151.515.152;0;0.483267944;0;2368;2368;0;346;10;7;2.8;12442;4333;;java=4333;58;54;4;542;1887;4573;51.3;1084;20.1;18.7;2;"1=331;2=142;4=34;6=16;8=4;10=3;12=4";"0=14;5=9;10=19;20=4;30=5;60=0;90=3";778;246;4;22;123;91;6;0;0;246;0;0
30/12/2006;21;125;5;7;105;2;219;2085;1;131340;1.6;0;0;0.476244861;0;2396;2396;0;346;10;7;2.8;12551;4378;;java=4378;58;54;4;549;1911;4607;51.3;1096;20.3;18.9;2;"1=336;2=142;4=36;6=16;8=4;10=3;12=4";"0=14;5=9;10=19;20=3;30=6;60=0;90=3";786;247;4;23;122;92;6;0;0;247;0;0
1/1/2007;21;125;5;7;105;2;218;2080;1;131340;1.6;0;0;0.475102787;0;2396;2396;0;346;10;7;2.8;12551;4378;;java=4378;58;54;4;549;1911;4607;51.3;1096;20.3;18.9;2;"1=336;2=142;4=36;6=16;8=4;10=3;12=4";"0=14;5=9;10=19;20=3;30=6;60=0;90=3";786;246;4;23;122;91;6;0;0;246;0;0
