date;bugs;reliability_rating;reliability_remediation_effort;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;coverage;line_coverage;lines_to_cover;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;classes;comment_lines;comment_lines_density;directories;files;functions;lines;ncloc;ncloc_language_distribution;statements;class_complexity;cognitive_complexity;complexity;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;open_issues;reopened_issues;violations;wont_fix_issues
25/12/2015;122;5;1619;2;100;5;2997;2940210;0;2.6;75953;1;0.774975257;0;0;44525;44525;294;80;6640;3.6;1709;34775;26.2;29;773;12546;183721;98007;"java=97325;xml=682";34913;11.2;9535;19056;24.8;"0=233;5=153;10=143;20=69;30=86;60=43;90=42";1.4;"1=9009;2=2084;4=402;6=135;8=56;10=28;12=38";165;0;433;0;470;1114;942;3124;0;3124;0
1/1/2016;122;5;1619;2;100;5;2999;2941350;0;2.6;75953;1;0.774674894;0;0;44552;44552;294;80;6640;3.6;1709;34791;26.2;29;773;12549;183791;98045;"java=97363;xml=682";34937;11.2;9535;19059;24.8;"0=233;5=153;10=143;20=69;30=86;60=43;90=42";1.4;"1=9010;2=2086;4=403;6=135;8=55;10=28;12=38";165;0;433;0;472;1114;942;3126;0;3126;0
8/1/2016;122;5;1619;2;100;5;3040;2947140;0;2.6;75893;1;0.772542193;0;0;44488;44488;292;78;6591;3.6;1709;35130;26.3;29;773;12532;183940;98238;"java=97556;xml=682";34883;11.1;9526;19032;24.7;"0=234;5=153;10=142;20=69;30=86;60=44;90=41";1.4;"1=8995;2=2084;4=404;6=135;8=55;10=27;12=38";165;0;433;0;516;1111;942;3167;0;3167;0
15/1/2016;122;5;1619;2;100;5;3042;2949150;0;2.6;75953;1;0.772626011;0;0;44511;44511;292;78;6591;3.6;1712;35146;26.3;29;774;12542;184062;98305;"java=97623;xml=682";34902;11.1;9529;19046;24.7;"0=234;5=153;10=143;20=69;30=86;60=44;90=41";1.4;"1=9002;2=2086;4=405;6=135;8=55;10=27;12=38";165;0;433;0;516;1111;944;3169;0;3169;0
22/1/2016;122;5;1619;2;100;5;3051;2950680;0;2.6;76078;1;0.773496279;0;0;44552;44552;290;78;6572;3.6;1714;35207;26.4;29;775;12558;184256;98356;"java=97674;xml=682";34928;11.1;9536;19063;24.7;"0=234;5=154;10=143;20=69;30=86;60=44;90=41";1.4;"1=9013;2=2089;4=406;6=135;8=55;10=27;12=38";165;0;436;0;516;1113;948;3178;0;3178;0
29/1/2016;122;5;1619;2;100;5;3040;2949570;0;2.6;75916;1;0.772139668;0;0;44556;44556;288;78;6508;3.5;1713;34981;26.2;29;774;12554;183934;98319;"java=97637;xml=682";34933;11.1;9554;19064;24.8;"0=233;5=154;10=143;20=69;30=87;60=43;90=41";1.4;"1=9009;2=2084;4=409;6=136;8=55;10=27;12=38";165;0;436;0;509;1111;946;3167;0;3167;0
5/2/2016;122;5;1619;2;100;5;3051;2953440;0;2.6;76098;1;0.772976597;0;0;44565;44565;306;78;6898;3.7;1713;34989;26.2;29;774;12596;184130;98448;"java=97766;xml=682";34924;11.1;9557;19094;24.8;"0=234;5=153;10=141;20=71;30=87;60=43;90=41";1.4;"1=9038;2=2072;4=418;6=135;8=55;10=28;12=38";165;0;436;0;520;1111;946;3178;0;3178;0
12/2/2016;122;5;1619;2;100;5;3082;2957520;0;2.6;76226;1;0.773208634;0;0;44564;44564;300;78;6879;3.7;1713;35021;26.2;29;774;12602;184315;98584;"java=97902;xml=682";34918;11.2;9558;19102;24.8;"0=234;5=153;10=140;20=72;30=87;60=43;90=41";1.4;"1=9041;2=2076;4=417;6=135;8=55;10=28;12=38";165;0;436;0;540;1117;951;3209;0;3209;0
19/2/2016;121;5;1609;2;100;5;3071;2962410;0;2.6;76039;1;0.770038583;0;0;44609;44609;282;76;6408;3.5;1715;34468;25.9;29;777;12555;183730;98747;"java=98065;xml=682";34744;11.1;9510;19015;24.6;"0=236;5=154;10=143;20=72;30=84;60=43;90=41";1.4;"1=9008;2=2069;4=411;6=134;8=54;10=28;12=38";165;0;436;0;538;1113;945;3197;0;3197;0
26/2/2016;118;5;1569;2;100;5;3068;2971290;0;2.6;76017;1;0.76751512;0;0;44624;44624;284;75;6390;3.5;1715;34137;25.6;29;777;12559;183662;99043;"java=98361;xml=682";34755;11.1;9509;19023;24.6;"0=237;5=153;10=143;20=72;30=84;60=43;90=41";1.4;"1=9010;2=2070;4=411;6=134;8=54;10=28;12=38";165;0;435;0;538;1109;944;3191;0;3191;0
4/3/2016;140;5;1899;2;100;5;3076;2987940;0;2.5;76105;1;0.76412177;0;0;44805;44805;292;77;6431;3.5;1715;34333;25.6;29;777;12621;184669;99598;"java=98916;xml=682";34894;11.2;9564;19141;24.8;"0=238;5=152;10=143;20=72;30=84;60=42;90=42";1.4;"1=9012;2=2132;4=409;6=134;8=54;10=28;12=38";165;0;435;0;550;1133;938;3221;0;3221;0
11/3/2016;140;5;1899;2;100;5;3077;2988810;0;2.5;76110;1;0.763949532;0;0;44801;44801;292;77;6431;3.5;1715;34407;25.7;29;777;12618;184737;99627;"java=98945;xml=682";34891;11.2;9564;19138;24.8;"0=238;5=152;10=144;20=71;30=84;60=42;90=42";1.4;"1=9009;2=2132;4=409;6=134;8=54;10=28;12=38";165;0;435;0;550;1134;938;3222;0;3222;0
18/3/2016;140;5;1899;2;100;5;3075;2982180;0;2.6;76084;1;0.765386395;0;0;44690;44690;288;74;6375;3.5;1709;34212;25.6;30;773;12581;184146;99406;"java=98724;xml=682";34781;11.2;9525;19079;24.8;"0=235;5=153;10=143;20=70;30=85;60=41;90=42";1.4;"1=8976;2=2135;4=404;6=133;8=53;10=29;12=38";165;0;430;0;553;1132;940;3220;0;3220;0
25/3/2016;140;5;1899;2;100;5;3086;2982570;0;2.6;76199;1;0.766443034;0;0;44690;44690;288;74;6375;3.5;1709;34233;25.6;30;773;12581;184201;99419;"java=98737;xml=682";34781;11.2;9525;19079;24.8;"0=235;5=153;10=143;20=70;30=85;60=41;90=42";1.4;"1=8976;2=2135;4=404;6=133;8=53;10=29;12=38";165;0;430;0;565;1132;939;3231;0;3231;0
1/4/2016;140;5;1899;2;100;5;3087;2980770;0;2.6;76201;1;0.766925996;0;0;44542;44542;288;74;6373;3.5;1709;34246;25.6;30;773;12589;184218;99359;"java=98677;xml=682";34805;11.2;9530;19091;24.8;"0=235;5=153;10=143;20=69;30=86;60=41;90=42";1.4;"1=8980;2=2139;4=404;6=133;8=53;10=29;12=38";165;0;429;0;565;1134;939;3232;0;3232;0
8/4/2016;141;5;1909;2;100;5;3096;2984730;0;2.5;75957;1;0.763455991;0;0;44527;44527;278;75;6213;3.4;1717;34501;25.7;30;786;12647;185015;99491;"java=98809;xml=682";34809;11.1;9521;19126;24.5;"0=239;5=159;10=144;20=71;30=86;60=41;90=42";1.4;"1=9014;2=2147;4=405;6=133;8=54;10=27;12=38";166;0;426;0;577;1137;936;3242;0;3242;0
15/4/2016;141;5;1909;2;100;5;3097;2985810;0;2.5;75957;1;0.763179841;0;0;44535;44535;278;75;6213;3.4;1717;34529;25.8;30;786;12648;185064;99527;"java=98845;xml=682";34810;11.1;9525;19131;24.5;"0=239;5=159;10=144;20=71;30=86;60=41;90=42";1.4;"1=9015;2=2146;4=405;6=134;8=54;10=27;12=38";166;0;426;0;578;1137;936;3243;0;3243;0
22/4/2016;144;5;1954;2;100;5;3074;2963370;0;2.5;75290;1;0.762206542;0;0;44218;44218;240;73;5391;2.9;1713;34361;25.8;30;791;12484;183935;98779;"java=98097;xml=682";34633;11.1;9537;18968;24.1;"0=239;5=159;10=150;20=69;30=87;60=41;90=42";1.4;"1=8854;2=2159;4=400;6=134;8=54;10=27;12=38";164;0;417;0;570;1136;936;3223;0;3223;0
29/4/2016;144;5;1954;2;100;5;3071;2961870;0;2.5;75220;1;0.76188354;0;0;44208;44208;236;73;5295;2.9;1710;34356;25.8;30;790;12465;183842;98729;"java=98047;xml=682";34624;11.1;9537;18957;24.1;"0=238;5=159;10=150;20=69;30=87;60=41;90=42";1.4;"1=8843;2=2159;4=400;6=134;8=54;10=27;12=38";164;0;416;0;569;1136;935;3220;0;3220;0
6/5/2016;144;5;1954;2;100;5;3076;2961720;0;2.5;75290;1;0.762631174;0;0;44205;44205;236;73;5301;2.9;1710;34367;25.8;30;790;12463;183853;98724;"java=98042;xml=682";34623;11.1;9537;18955;24.1;"0=238;5=159;10=150;20=69;30=87;60=41;90=42";1.4;"1=8841;2=2159;4=400;6=134;8=54;10=27;12=38";164;0;416;0;571;1137;937;3225;0;3225;0
13/5/2016;144;5;1954;2;100;5;3077;2962890;0;2.5;75290;1;0.762330022;0;0;44228;44228;236;73;5301;2.9;1710;34388;25.8;30;790;12465;183926;98763;"java=98081;xml=682";34643;11.1;9554;18973;24.1;"0=238;5=159;10=150;20=69;30=87;60=41;90=42";1.4;"1=8842;2=2159;4=400;6=134;8=54;10=27;12=39";164;0;417;0;573;1135;937;3226;0;3226;0
20/5/2016;144;5;1954;2;100;5;3077;2963370;0;2.5;75290;1;0.762206542;0;0;44240;44240;236;73;5301;2.9;1710;34392;25.8;30;790;12465;183955;98779;"java=98097;xml=682";34652;11.1;9571;18979;24.1;"0=238;5=159;10=150;20=69;30=87;60=41;90=42";1.4;"1=8842;2=2159;4=400;6=134;8=54;10=27;12=39";164;0;417;0;573;1135;937;3226;0;3226;0
27/5/2016;144;5;1954;2;100;5;3078;2965620;0;2.5;75306;1;0.761790115;0;0;44272;44272;236;73;5301;2.9;1711;34440;25.8;30;791;12476;184143;98854;"java=98172;xml=682";34682;11.1;9573;18995;24.1;"0=238;5=159;10=150;20=70;30=87;60=41;90=42";1.4;"1=8849;2=2161;4=401;6=136;8=54;10=27;12=38";164;0;416;0;574;1135;938;3227;0;3227;0
3/6/2016;144;5;1954;2;100;5;3079;2966040;0;2.5;75313;1;0.761753044;0;0;44282;44282;236;73;5301;2.9;1711;34442;25.8;30;791;12476;184159;98868;"java=98186;xml=682";34692;11.1;9583;18998;24.1;"0=238;5=159;10=150;20=70;30=87;60=41;90=42";1.4;"1=8849;2=2161;4=400;6=136;8=55;10=27;12=38";164;0;417;0;574;1135;938;3228;0;3228;0
10/6/2016;144;5;1954;2;100;5;3065;2971800;0;2.5;75029;1;0.757409651;0;0;44372;44372;236;73;5301;2.9;1713;34526;25.8;30;792;12502;184530;99060;"java=98378;xml=682";34770;11.1;9603;19050;24.2;"0=238;5=158;10=152;20=69;30=88;60=41;90=42";1.4;"1=8865;2=2167;4=403;6=137;8=55;10=27;12=38";164;0;419;0;568;1125;938;3214;0;3214;0
17/6/2016;144;5;1954;2;100;5;3062;2973990;0;2.5;75001;1;0.756569457;0;0;44387;44387;236;73;5301;2.9;1715;34540;25.8;30;792;12519;184625;99133;"java=98451;xml=682";34779;11.1;9594;19071;24.2;"0=237;5=158;10=152;20=69;30=89;60=41;90=42";1.4;"1=8886;2=2166;4=401;6=138;8=55;10=27;12=38";164;0;417;0;565;1125;940;3211;0;3211;0
