date;bugs;reliability_rating;reliability_remediation_effort;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;coverage;line_coverage;lines_to_cover;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;classes;comment_lines;comment_lines_density;directories;files;functions;lines;ncloc;ncloc_language_distribution;statements;class_complexity;cognitive_complexity;complexity;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;open_issues;reopened_issues;violations;wont_fix_issues
5/1/2018;133;5;1250;5;1750;105;2558;1504980;0;1.5;22509;1;0.448690348;0;0;26846;26846;260;107;8272;10.1;545;10786;17.7;153;502;4498;81905;50166;"java=47837;xml=2329";22374;15.9;7626;8653;18.8;"0=145;5=95;10=92;20=41;30=57;60=17;90=13";1.9;"1=3025;2=748;4=273;6=107;8=45;10=30;12=58";58;0;650;0;74;867;1147;2796;0;2796;0
12/1/2018;133;5;1250;5;1750;105;2565;1507200;0;1.5;22548;1;0.448805732;0;0;26889;26889;258;107;8218;10;547;10788;17.7;153;502;4512;82109;50240;"java=47911;xml=2329";22403;15.9;7634;8671;18.9;"0=145;5=95;10=92;20=40;30=58;60=17;90=13";1.9;"1=3037;2=749;4=274;6=107;8=46;10=29;12=58";58;0;649;0;74;869;1153;2803;0;2803;0
19/1/2018;133;5;1250;5;1750;105;2565;1508580;0;1.5;22548;1;0.44839518;0;0;26889;26889;258;107;8218;10;547;10788;17.7;153;502;4512;82155;50286;"java=47911;xml=2375";22403;15.9;7634;8671;18.9;"0=145;5=95;10=92;20=40;30=58;60=17;90=13";1.9;"1=3037;2=749;4=274;6=107;8=46;10=29;12=58";58;0;649;0;74;869;1153;2803;0;2803;0
26/1/2018;133;5;1250;5;1750;105;2568;1508490;0;1.5;22559;1;0.448640694;0;0;26889;26889;258;107;8218;10;547;10788;17.7;153;502;4512;82150;50283;"java=47911;xml=2372";22403;15.9;7634;8671;18.9;"0=145;5=95;10=92;20=40;30=58;60=17;90=13";1.9;"1=3037;2=749;4=274;6=107;8=46;10=29;12=58";58;0;649;0;74;869;1156;2806;0;2806;0
2/2/2018;135;5;1275;5;1750;105;2580;1520100;0;1.5;22696;1;0.4479179;0;0;27002;27002;258;107;8218;10;549;10801;17.6;155;505;4523;82495;50670;"java=48163;xml=2507";22498;15.9;7702;8706;18.8;"0=145;5=96;10=92;20=41;30=58;60=17;90=13";1.9;"1=3043;2=753;4=275;6=107;8=46;10=29;12=58";58;0;651;0;74;877;1160;2820;0;2820;0
9/2/2018;135;5;1275;5;1750;105;2581;1524300;0;1.5;22698;1;0.446723086;0;0;27047;27047;258;107;8218;9.9;551;10809;17.5;157;508;4526;82671;50810;"java=48273;xml=2537";22534;15.8;7715;8716;18.8;"0=146;5=97;10=92;20=41;30=58;60=17;90=13";1.9;"1=3043;2=754;4=277;6=107;8=46;10=29;12=58";58;0;651;0;74;877;1161;2821;0;2821;0
16/2/2018;135;5;1275;5;1750;105;2584;1541100;0;1.5;22709;1;0.442067354;0;0;27311;27311;258;107;8218;9.9;555;10815;17.4;160;514;4570;83227;51370;"java=48838;xml=2532";22736;15.8;7768;8786;18.8;"0=147;5=98;10=92;20=42;30=59;60=17;90=13";1.9;"1=3058;2=778;4=278;6=106;8=47;10=29;12=58";58;0;651;0;74;877;1164;2824;0;2824;0
23/2/2018;135;5;1275;5;1750;105;2585;1541340;0;1.5;22717;1;0.442154229;0;0;27314;27314;258;107;8219;9.9;555;10815;17.4;160;514;4572;83237;51378;"java=48846;xml=2532";22739;15.8;7768;8788;18.8;"0=147;5=98;10=92;20=42;30=59;60=17;90=13";1.9;"1=3060;2=778;4=278;6=106;8=47;10=29;12=58";58;0;652;0;74;877;1164;2825;0;2825;0
2/3/2018;135;5;1275;5;1750;105;2620;1555140;0;1.5;22956;1;0.442841159;0;0;27502;27502;262;110;8302;9.9;559;10874;17.3;159;516;4569;84109;51838;"java=49252;xml=2586";22950;15.9;7924;8913;18.9;"0=146;5=98;10=95;20=42;30=58;60=19;90=13";1.9;"1=3059;2=761;4=285;6=110;8=50;10=29;12=62";58;0;661;0;74;886;1181;2860;0;2860;0
9/3/2018;135;5;1275;5;1750;105;2585;1541340;0;1.5;22717;1;0.442154229;0;0;27314;27314;258;107;8219;9.9;555;10815;17.4;160;514;4572;83238;51378;"java=48846;xml=2532";22739;15.8;7768;8788;18.8;"0=147;5=98;10=92;20=42;30=59;60=17;90=13";1.9;"1=3060;2=778;4=278;6=106;8=47;10=29;12=58";58;0;652;0;74;877;1164;2825;0;2825;0
