date;bugs;reliability_rating;reliability_remediation_effort;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;coverage;line_coverage;lines_to_cover;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;classes;comment_lines;comment_lines_density;directories;files;functions;lines;ncloc;ncloc_language_distribution;statements;class_complexity;cognitive_complexity;complexity;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;open_issues;reopened_issues;violations;wont_fix_issues
18/12/2015;50;5;475;5;200;15;738;588270;0;1.2;6972;1;0.355551022;0;0;10643;10643;6;4;62;0.2;216;4005;17;45;166;1767;31538;19609;"java=18494;xml=1115";8808;19.9;3271;4294;29;"0=42;5=27;10=26;20=10;30=19;60=12;90=12";2.3;"1=913;2=460;4=142;6=51;8=35;10=16;12=34";33;0;136;0;34;349;251;803;0;803;0
25/12/2015;50;5;475;5;200;15;745;591870;0;1.2;7065;1;0.358102286;0;0;10675;10675;6;4;62;0.2;221;3817;16.2;46;170;1777;31657;19729;"java=18571;xml=1158";8820;19.5;3273;4304;28.3;"0=43;5=28;10=27;20=11;30=20;60=11;90=12";2.3;"1=915;2=456;4=145;6=52;8=35;10=16;12=34";34;0;138;0;33;350;255;810;0;810;0
1/1/2016;51;5;480;5;200;15;757;608160;0;1.2;7166;1;0.353492502;0;0;11022;11022;6;4;62;0.2;227;3897;16.1;47;173;1821;32458;20272;"java=19149;xml=1123";9142;19.6;3402;4446;28.7;"0=42;5=31;10=27;20=11;30=19;60=12;90=13";2.3;"1=928;2=474;4=153;6=54;8=35;10=16;12=36";35;0;142;0;33;354;259;823;0;823;0
8/1/2016;51;5;480;5;200;15;757;611340;0;1.2;7167;1;0.351702817;0;0;11023;11023;6;4;62;0.2;227;3898;16.1;47;173;1821;32632;20378;"java=19148;xml=1230";9143;19.6;3403;4447;28.7;"0=42;5=31;10=27;20=11;30=19;60=12;90=13";2.3;"1=928;2=474;4=153;6=54;8=35;10=16;12=36";35;0;142;0;33;354;259;823;0;823;0
15/1/2016;51;5;480;5;210;16;759;609690;0;1.2;7206;1;0.354573636;0;0;11058;11058;6;4;62;0.2;227;3899;16.1;47;173;1822;32521;20323;"java=19200;xml=1123";9177;19.7;3421;4466;28.8;"0=42;5=31;10=27;20=11;30=19;60=12;90=13";2.3;"1=929;2=472;4=153;6=55;8=35;10=17;12=36";35;0;143;0;32;356;260;826;0;826;0
22/1/2016;51;5;480;5;210;16;766;613710;0;1.2;7276;1;0.355672875;0;0;11105;11105;6;4;62;0.2;230;3902;16;47;176;1852;32744;20457;"java=19334;xml=1123";9215;19.6;3426;4500;28.5;"0=42;5=33;10=27;20=12;30=19;60=12;90=13";2.3;"1=956;2=475;4=153;6=55;8=35;10=17;12=36";35;0;144;0;32;358;264;833;0;833;0
29/1/2016;51;5;480;5;210;16;782;619950;0;1.2;7450;1;0.360512945;0;0;11220;11220;6;4;62;0.2;235;3940;16;47;179;1869;33093;20665;"java=19542;xml=1123";9313;19.3;3470;4540;28.2;"0=43;5=33;10=29;20=12;30=19;60=12;90=13";2.3;"1=965;2=479;4=153;6=58;8=35;10=17;12=36";35;0;144;0;33;364;273;849;0;849;0
5/2/2016;51;5;480;5;210;16;788;624960;0;1.2;7519;1;0.3609351;0;0;11311;11311;6;4;62;0.2;238;3956;16;47;182;1885;33417;20832;"java=19709;xml=1123";9381;19.3;3493;4583;27.9;"0=45;5=34;10=29;20=11;30=20;60=12;90=13";2.3;"1=976;2=479;4=155;6=57;8=37;10=18;12=36";35;0;144;0;33;365;278;855;0;855;0
12/2/2016;52;5;490;5;210;16;777;623760;0;1.2;7374;1;0.354655637;0;0;11286;11286;6;4;62;0.2;237;3958;16;47;182;1879;33366;20792;"java=19669;xml=1123";9361;19.3;3488;4575;27.9;"0=45;5=34;10=29;20=11;30=20;60=12;90=13";2.3;"1=972;2=477;4=155;6=57;8=37;10=18;12=36";35;0;142;0;33;357;278;845;0;845;0
19/2/2016;52;5;490;5;210;16;780;625860;0;1.2;7387;1;0.354088774;0;0;11329;11329;6;4;62;0.2;238;3967;16;47;182;1889;33453;20862;"java=19739;xml=1123";9401;19.3;3519;4598;28;"0=45;5=34;10=29;20=11;30=20;60=12;90=13";2.3;"1=974;2=484;4=158;6=54;8=37;10=18;12=37";35;0;145;0;33;357;278;848;0;848;0
