date;bugs;reliability_rating;reliability_remediation_effort;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;coverage;line_coverage;lines_to_cover;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;classes;comment_lines;comment_lines_density;directories;files;functions;lines;ncloc;ncloc_language_distribution;statements;class_complexity;cognitive_complexity;complexity;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;open_issues;reopened_issues;violations;wont_fix_issues
10/3/2017;29;5;205;5;1010;52;515;876270;0;1.4;11955;1;0.409291657;0;0;18226;18226;521;37;1618;3.5;292;4893;14.3;46;285;1803;46269;29209;"java=28212;xml=997";13961;20.9;6613;6101;22.7;"0=47;5=58;10=71;20=28;30=44;60=11;90=10";3.4;"1=935;2=337;4=202;6=107;8=68;10=33;12=88";4;0;186;0;27;265;114;596;0;596;0
17/3/2017;29;5;205;5;1010;52;515;876270;0;1.4;11955;1;0.409291657;0;0;18226;18226;521;37;1618;3.5;292;4893;14.3;46;285;1803;46269;29209;"java=28212;xml=997";13961;20.9;6613;6101;22.7;"0=47;5=58;10=71;20=28;30=44;60=11;90=10";3.4;"1=935;2=337;4=202;6=107;8=68;10=33;12=88";4;0;186;0;27;265;114;596;0;596;0
24/3/2017;29;5;205;5;1010;52;516;878010;0;1.4;11961;1;0.40868555;0;0;18259;18259;521;37;1618;3.5;293;4909;14.4;46;285;1806;46342;29267;"java=28270;xml=997";13996;20.9;6630;6119;22.7;"0=47;5=58;10=71;20=28;30=43;60=12;90=10";3.4;"1=935;2=339;4=202;6=106;8=69;10=33;12=89";4;0;187;0;27;265;114;597;0;597;0
31/3/2017;29;5;205;5;1010;52;514;877230;0;1.4;11923;1;0.407749393;0;0;18239;18239;519;36;1592;3.4;293;4914;14.4;46;285;1806;46320;29241;"java=28244;xml=997";13980;20.9;6609;6113;22.7;"0=47;5=58;10=72;20=27;30=43;60=12;90=10";3.4;"1=935;2=340;4=201;6=106;8=69;10=33;12=89";4;0;186;0;27;264;114;595;0;595;0
7/4/2017;29;5;205;5;1010;52;517;879000;0;1.4;11968;1;0.408464164;0;0;18259;18259;519;36;1592;3.4;296;4921;14.4;46;288;1810;46483;29300;"java=28289;xml=1011";13992;20.7;6612;6116;22.5;"0=50;5=58;10=72;20=27;30=43;60=12;90=10";3.3;"1=938;2=340;4=201;6=106;8=69;10=33;12=89";4;0;188;0;27;265;114;598;0;598;0
14/4/2017;29;5;205;5;1010;52;509;877740;0;1.3;11808;1;0.403581926;0;0;18222;18222;519;36;1592;3.4;288;4916;14.4;46;288;1800;46433;29258;"java=28247;xml=1011";13984;21.2;6609;6111;22.5;"0=50;5=58;10=72;20=27;30=43;60=12;90=10";3.4;"1=930;2=338;4=201;6=106;8=69;10=33;12=89";4;0;180;0;27;265;114;590;0;590;0
21/4/2017;29;5;205;5;1010;52;510;878190;0;1.3;11823;1;0.403887541;0;0;18223;18223;519;36;1592;3.4;288;4959;14.5;46;288;1801;46534;29273;"java=28262;xml=1011";13985;21.2;6607;6108;22.5;"0=50;5=58;10=72;20=27;30=43;60=12;90=10";3.4;"1=932;2=338;4=201;6=105;8=69;10=33;12=89";4;0;180;0;29;265;113;591;0;591;0
28/4/2017;29;5;205;5;1010;52;510;877050;0;1.3;11824;1;0.404446725;0;0;18227;18227;519;36;1592;3.4;288;4963;14.5;46;288;1801;46527;29235;"java=28269;xml=966";13987;21.2;6616;6111;22.5;"0=50;5=58;10=72;20=26;30=44;60=12;90=10";3.4;"1=932;2=338;4=201;6=104;8=70;10=33;12=89";4;0;181;0;29;264;113;591;0;591;0
5/5/2017;29;5;205;5;1010;52;510;877170;0;1.3;11826;1;0.404459797;0;0;18228;18228;519;36;1592;3.4;288;4964;14.5;46;288;1801;46534;29239;"java=28271;xml=968";13989;21.2;6618;6112;22.5;"0=50;5=58;10=72;20=26;30=44;60=12;90=10";3.4;"1=932;2=338;4=201;6=104;8=70;10=33;12=89";4;0;181;0;29;264;113;591;0;591;0
12/5/2017;29;5;205;5;1010;52;510;879480;0;1.3;11826;1;0.403397462;0;0;18240;18240;519;36;1592;3.4;288;4964;14.5;46;288;1801;46741;29316;"java=28283;xml=1033";13989;21.2;6618;6112;22.5;"0=50;5=58;10=72;20=26;30=44;60=12;90=10";3.4;"1=932;2=338;4=201;6=104;8=70;10=33;12=89";4;0;181;0;29;264;113;591;0;591;0
19/5/2017;29;5;205;5;1010;52;510;879480;0;1.3;11826;1;0.403397462;0;0;18240;18240;519;36;1592;3.4;288;4964;14.5;46;288;1801;46741;29316;"java=28283;xml=1033";13989;21.2;6618;6112;22.5;"0=50;5=58;10=72;20=26;30=44;60=12;90=10";3.4;"1=932;2=338;4=201;6=104;8=70;10=33;12=89";4;0;181;0;29;264;113;591;0;591;0
26/5/2017;29;5;205;5;1010;52;510;879480;0;1.3;11826;1;0.403397462;0;0;18240;18240;519;36;1592;3.4;288;4964;14.5;46;288;1801;46741;29316;"java=28283;xml=1033";13989;21.2;6618;6112;22.5;"0=50;5=58;10=72;20=26;30=44;60=12;90=10";3.4;"1=932;2=338;4=201;6=104;8=70;10=33;12=89";4;0;181;0;29;264;113;591;0;591;0
2/6/2017;29;5;205;5;1010;52;510;879480;0;1.3;11826;1;0.403397462;0;0;18240;18240;519;36;1592;3.4;288;4964;14.5;46;288;1801;46741;29316;"java=28283;xml=1033";13989;21.2;6618;6112;22.5;"0=50;5=58;10=72;20=26;30=44;60=12;90=10";3.4;"1=932;2=338;4=201;6=104;8=70;10=33;12=89";4;0;181;0;29;264;113;591;0;591;0
9/6/2017;30;5;210;5;1010;52;513;878250;0;1.3;11851;1;0.404816396;0;0;18199;18199;519;36;1573;3.4;288;4939;14.4;46;288;1803;46671;29275;"java=28242;xml=1033";13931;21.2;6619;6115;22.5;"0=50;5=58;10=72;20=26;30=44;60=12;90=10";3.4;"1=933;2=339;4=201;6=104;8=70;10=33;12=89";4;0;181;0;29;268;113;595;0;595;0
