date;bugs;reliability_rating;reliability_remediation_effort;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;coverage;line_coverage;lines_to_cover;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;classes;comment_lines;comment_lines_density;directories;files;functions;lines;ncloc;ncloc_language_distribution;projects;statements;class_complexity;cognitive_complexity;complexity;file_complexity;file_complexity_distribution;function_complexity;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;open_issues;reopened_issues;violations;wont_fix_issues
25/3/2016;420;5;5678;5;5067;361;5662;4273890;0;1.3;55555;1;0.389960902;0;0;72739;72739;124;47;36876;13.8;1648;49167;25.7;96;1035;14998;267538;142463;"java=85757;js=53879;xml=2827";;69802;11;39374;36468;36.3;"0=364;5=212;10=190;20=78;30=65;60=35;90=60";2.3;100;0;669;0;772;1806;3096;6443;0;6443;0
1/4/2016;419;5;5673;5;5067;361;5615;4269300;0;1.3;55041;1;0.386768323;0;0;72602;72602;124;47;36876;13.8;1648;49149;25.7;96;1035;14998;267377;142310;"java=85615;js=53868;xml=2827";;69702;11;39268;36448;36.3;"0=365;5=211;10=190;20=78;30=65;60=35;90=60";2.3;100;0;656;0;772;1791;3076;6395;0;6395;0
8/4/2016;419;5;5673;5;5067;361;5607;4270380;0;1.3;55037;1;0.386642407;0;0;72619;72619;124;47;36876;13.8;1648;49159;25.7;96;1035;14998;267434;142346;"java=85645;js=53874;xml=2827";;69717;11;39281;36459;36.3;"0=364;5=212;10=190;20=78;30=65;60=35;90=60";2.3;100;0;656;0;773;1782;3076;6387;0;6387;0
15/4/2016;421;5;5718;5;5067;361;5617;4277850;0;1.3;55146;1;0.386731653;0;0;72746;72746;124;47;36876;13.8;1651;49194;25.7;96;1035;15022;267765;142595;"java=85776;js=53973;xml=2846";;69836;11;39378;36542;36.4;"0=364;5=212;10=190;20=78;30=65;60=35;90=60";2.3;101;0;658;0;775;1788;3077;6399;0;6399;0
22/4/2016;424;5;5743;5;5217;370;5667;4289760;0;1.3;55525;1;0.388308437;0;0;72877;72877;124;47;36876;13.7;1658;49325;25.6;96;1037;15055;268439;142992;"java=86153;js=53984;xml=2855";;69948;11;39443;36596;36.4;"0=366;5=211;10=190;20=79;30=65;60=35;90=60";2.3;101;0;661;0;787;1801;3111;6461;0;6461;0
29/4/2016;424;5;5793;5;5217;370;5714;4071780;0;1.4;55579;1;0.409494128;0;0;68202;68202;77;43;28753;11.1;1666;48287;26.2;95;1038;13310;258708;135726;"java=87009;js=45863;xml=2854";;63109;11;31960;31263;31.1;"0=368;5=211;10=191;20=80;30=66;60=35;90=55";2.3;101;0;667;0;799;1778;3163;6508;0;6508;0
6/5/2016;422;5;5758;5;5217;370;5748;4082880;0;1.4;56042;1;0.411782859;0;0;68413;68413;84;47;28861;11.1;1670;48348;26.2;95;1040;13330;259248;136096;"java=87383;js=45863;xml=2850";;63288;11;32083;31338;31.1;"0=367;5=211;10=193;20=80;30=67;60=35;90=55";2.3;101;0;674;0;801;1797;3167;6540;0;6540;0
13/5/2016;422;5;5758;5;5217;370;5750;4083510;0;1.4;56056;1;0.411822182;0;0;68421;68421;84;47;28861;11.1;1670;48349;26.2;95;1040;13331;259271;136117;"java=87400;js=45863;xml=2854";;63294;11;32088;31343;31.1;"0=367;5=211;10=193;20=80;30=67;60=35;90=55";2.3;101;0;675;0;802;1797;3167;6542;0;6542;0
20/5/2016;423;5;5773;5;5217;370;5757;4086630;0;1.4;56140;1;0.412124415;0;0;68484;68484;84;47;28861;11.1;1671;48371;26.2;95;1041;13341;259461;136221;"java=87504;js=45863;xml=2854";;63342;11;32106;31362;31.1;"0=367;5=211;10=193;20=81;30=65;60=37;90=55";2.3;101;0;676;0;804;1801;3168;6550;0;6550;0
27/5/2016;424;5;5778;5;5207;369;5766;4086990;0;1.4;56235;1;0.412785448;0;0;68481;68481;84;47;28861;11.1;1671;48388;26.2;95;1041;13346;259506;136233;"java=87516;js=45863;xml=2854";;63333;11;32102;31361;31.1;"0=367;5=211;10=193;20=81;30=65;60=37;90=55";2.3;101;0;677;0;808;1801;3172;6559;0;6559;0
