,Model,Horizon,apache_groovy,apache_incubator_dubbo,apache_kafka,apache_nifi,apache_ofbiz,apache_systemml,commonsio,google_guava,igniterealtime_openfire,java_websocket,jenkinsci_jenkins,spring-projects_spring-boot,square_okhttp,square_retrofit,zxing_zxing,mean
0,LinearRegression,1,18777.797718344274,4187.5182372958225,640.0965543661019,4191.872348982208,6684.899318474676,1513.9559373134882,36.69148051656432,1093.2153870192592,22736.49735381296,133.47744879952444,507.7098101483645,54.572863134683004,311.8444432873268,157.49138415037646,54.80037332302445,4072.1627105979105
1,LinearRegression,5,64392.82631307058,7382.665400818171,2616.195593311815,5842.900666782902,19398.721083563538,3867.239669858501,144.09849500560819,3086.4837709279527,19834.84214622221,428.2845972621037,1982.357346985988,109.64847446418173,639.3075360991743,310.4378304782764,95.77667671263336,8675.452373437574
2,LinearRegression,10,947037.233332213,11632.111238201545,2002.1892462056644,5033.829029270296,32591.363054516325,6324.354204650493,169.64409457374595,6825.278452997108,730012.9545963083,550.4697933812802,3324.0049600365646,557.9876441132615,774.42245867226,576.5116879842126,330.46872550413315,116516.18816790853
3,LinearRegression,20,702621.7152667225,14197.621038078272,2721.194445062203,3768.3744561737076,27025.353363615024,8482.110097485911,368.7800936430401,25882.695499047644,78589.50256472596,939.5977844740596,5053.536354152213,234.66677994958624,1809.7714083517724,1018.7130265095099,110.52024654317523,58188.2768283023
4,LinearRegression,40,2843157.1443896666,8741.727122399194,6448.203902653008,5582.38140378188,12193.382297545295,3684.408831521814,339.96392978697276,15880.501767505004,37428.05010409298,214.7924997116827,2012.3695595817492,155.7982330911512,1930.727282685369,661.8030567260366,501.6093340929483,195928.85758098945
5,LassoRegression,1,3648.729559441056,2162.623104820624,430.1055465909121,977.7143057823461,404.586679690519,735.4107674360071,20.965450452626236,295.0680947939406,14149.210368736582,80.23852730015035,348.4271814810522,31.97008136135399,68.79090526578162,58.26411731535299,26.594244909199844,1562.5799290251668
6,LassoRegression,5,18549.99500211869,2564.0202235502543,1474.8810002706637,2070.4218831282155,2611.5849508136107,2677.0851589881654,78.34750834861025,1341.2190935734554,22598.19054402395,290.32144642412675,1547.8800541656371,93.69016651482497,278.1330154679711,188.7312374306843,64.96917155544806,3761.964697091621
7,LassoRegression,10,56267.5947608128,4604.398055364102,2240.9316875104264,2567.994350379457,9278.688814657262,5265.620701371334,133.50831456658454,1816.7131584047777,523786.6592746663,628.2782795568356,2792.1108546332916,374.15193534691144,713.3644800269087,242.75121929980193,84.13647512318944,40719.79349078133
8,LassoRegression,20,24229.64610878603,4158.158706483575,2894.2613706471298,2488.8045047743426,4083.9463478759512,9076.053402949341,201.54415639109084,15487.65202864306,64389.801360494705,575.53560070752,6578.936546573146,192.8616678464217,1031.7886637351573,312.5225884220553,129.36537165617287,9055.391895065713
9,LassoRegression,40,37086.22274869542,1772.332458940128,4700.50279724985,1863.425013508575,3061.0730692555853,3886.696454793476,363.7496718760137,8434.667518832406,13609.493311157292,302.07919504425416,1955.7029837359773,151.16372885584514,1450.09933595478,263.2404181095977,66.2203256305748,5264.444602109319
10,RidgeRegression,1,3699.366617417743,2109.2279025182015,437.25326754108227,1201.830784906394,757.1837226947464,926.4961474518652,20.933438099232347,401.75358708127806,9709.080501499608,76.2259668819525,410.9119375261256,32.41541124206232,78.53424734108675,65.16757786972119,25.638063455324684,1330.1346115684282
11,RidgeRegression,5,16416.926289386207,2522.662443669714,1570.0400134081178,2430.8941845328172,3960.8586528516003,2505.5617247219857,78.27585518156516,1452.1248113892962,24024.452952575386,309.45067801481315,1524.013584228454,88.33469020238402,270.12198534627896,190.96279149130146,61.29691192458896,3827.0651712616336
12,RidgeRegression,10,50114.818736313355,4746.770711437325,2558.2936758436535,2333.171798684928,12803.25283657124,4424.390017632305,131.9759099737193,2286.9429632417477,262934.0503822242,595.8952493499158,2685.396803880961,187.16824204694043,390.351386665744,237.08475836535195,83.10857293282929,23100.84480301095
