,Model,Horizon,apache_groovy,apache_incubator_dubbo,apache_kafka,apache_nifi,apache_ofbiz,apache_systemml,commonsio,google_guava,igniterealtime_openfire,java_websocket,jenkinsci_jenkins,spring-projects_spring-boot,square_okhttp,square_retrofit,zxing_zxing,mean
0,LinearRegression,1,42014.06635727041,5342.407124197917,899.9096985745707,4777.410962829572,8919.078894325563,1871.650560505172,70.13536415060551,1584.4253502356369,32193.937446761687,188.87921794757838,793.4905124090426,78.52198432735779,437.2785919564205,203.64712582128075,72.12138642372344,6629.797371849101
1,LinearRegression,5,132501.71996559395,8714.311421593526,3163.149890177391,6815.426856321861,21962.525817048998,4483.635673525475,196.23114529222894,3705.9667974517843,24692.61201979591,523.1757522141746,2483.2283866570483,134.95001626624307,758.9930519240341,445.1553907507302,107.20206208618244,14045.885616446636
2,LinearRegression,10,1008178.4761916387,13703.229222621558,2369.500157229964,5541.663239808118,38491.96231627975,7297.182329513326,226.84342796653186,8989.101216498939,784820.9777954896,682.1260831598618,3871.206711551947,604.131122844853,871.4970059816906,896.7921612177083,343.39043823396867,125125.87196133575
3,LinearRegression,20,836158.2863055237,17170.606417100287,3206.0868633300715,5530.155413004793,34458.85859306855,10986.3843238784,437.09270505103314,26088.016903950633,109688.4313862022,1033.4917102146171,5557.031259118011,258.2449369611335,2073.8196110952213,1137.4607995347124,122.15839553739269,70260.40837490473
4,LinearRegression,40,3153237.7114999993,13381.38530731665,6952.232891395253,6585.715486724025,13338.700420497189,4264.844772367587,379.65212307591474,21104.86542142084,47097.295833401346,262.7880094631104,2835.876638663228,176.6103322202155,2320.0700417421194,762.9623092314459,664.8308001191787,218224.36945917582
5,LassoRegression,1,5577.936701040193,2814.809129338035,676.957402880735,1247.5650766716892,592.5163390326672,1078.9895179483183,59.07293037421158,669.057811606068,17800.561439343393,145.3396310348835,695.0914224714634,49.17452299369929,141.97901943368475,102.95116386239933,33.91708564172768,2112.3946129115443
6,LassoRegression,5,23708.261834758294,3261.3796136958017,1768.4351591506606,2314.0079499914723,2916.8375711575063,3182.484263966847,134.04177442188217,1858.6853742647538,27130.46352665555,361.780101093565,2038.6397677055465,116.72271916286631,365.93891844831614,248.44554067430332,75.81664985382473,4632.129384333412
7,LassoRegression,10,62360.61712941787,5036.134315136094,2615.34450772421,2833.209663664724,9933.155141972604,6271.454181646749,185.24405388727092,2267.382867587892,561983.2201382294,720.8970545302602,3249.1129147843144,410.5857872461879,809.6057638246702,273.23435522762753,94.1414503707327,43936.22262168338
8,LassoRegression,20,27914.948561299138,5098.467513131501,3239.652899460624,2870.5692132748727,4474.968784549817,11769.12511580368,242.95247978085098,15857.392680261051,87811.74263885932,633.2125313732552,7105.798847660664,217.94896421707625,1174.883912868177,348.99723308591786,135.63489787068858,11259.753084899774
9,LassoRegression,40,56675.716663447696,2174.145788650722,5004.199489775436,2126.3571272276195,3289.608704036814,4502.911706978078,418.1809152367097,10698.440707764867,15972.977869918665,357.7451154616292,2732.366654510267,165.0619360557967,1590.1733547936087,276.9585896534442,69.90651695734954,7070.316742697911
10,RidgeRegression,1,5626.450939175238,2802.825641118422,682.5208710497784,1434.8251449074257,976.8887574006671,1236.7473512390306,58.85987856854447,752.886041320801,12159.21948085588,141.2369360604869,732.2486239573576,50.88137362230738,146.03526470425533,106.89509824113178,32.45440339845116,1796.0650537079855
11,RidgeRegression,5,20964.319956027517,3144.3483541885303,1859.6946992514531,2712.9334895162237,4288.920887235967,3067.4807993923655,133.7365469575621,1955.96670094806,29822.943796493288,381.32079302671673,1982.019102462297,106.00992987305376,353.23461313567304,243.29549270419855,71.05295261574756,4739.151874255244
12,RidgeRegression,10,56050.214268821444,5181.146251649014,2899.8828384203334,2516.6913648759783,13743.452293793523,5092.98116462369,183.9409227336402,2843.860754692453,281209.2353914259,678.1719113915723,3118.254836850404,206.622224744061,480.43833757557985,266.2797459300854,92.15018266696035,24970.888166012977
13,RidgeRegression,20,27956.424225864,5180.634139435871,3605.1895376912953,2234.283994206081,11555.581964135208,11905.192077635027,247.75412373375048,6845.859595667786,30487.949065353823,691.1038514664865,8941.443575248848,282.59725492113307,716.1128277617947,333.0056233312457,132.8747916113086,7407.733776537576
